name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp125,4.90427,8.97196e-16,4.90427,4.90427,4.90427,4.90427,45.3697,54.4899,5.01989,261.748,-9.12028,99.8596,0.11562
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp126,4.82328,8.97196e-16,4.82328,4.82328,4.82328,4.82328,43.4723,50.1249,4.9194,247.012,-6.65266,93.5972,0.0961151
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp127,4.90315,0,4.90315,4.90315,4.90315,4.90315,45.3619,54.4255,5.0212,260.448,-9.06365,99.7874,0.118048
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp128,4.82719,8.97196e-16,4.82719,4.82719,4.82719,4.82719,43.5026,50.1135,4.92405,246.57,-6.61091,93.6161,0.09686
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp129,4.90197,8.97196e-16,4.90197,4.90197,4.90197,4.90197,45.3616,54.3798,5.02217,259.246,-9.01814,99.7414,0.120204
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp13,4.81094,8.97196e-16,4.81094,4.81094,4.81094,4.81094,43.4031,50.2132,4.92453,242.957,-6.81008,93.6163,0.113584
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp130,4.83041,8.97196e-16,4.83041,4.83041,4.83041,4.83041,43.5275,50.1018,4.928,246.142,-6.57433,93.6293,0.0975882
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp131,4.9005,0,4.9005,4.9005,4.9005,4.9005,45.3669,54.3498,5.02258,258.134,-8.98284,99.7167,0.122082
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp132,4.83162,0,4.83162,4.83162,4.83162,4.83162,43.5363,50.0878,4.93007,245.727,-6.55147,93.6242,0.0984537
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp133,4.89861,8.97196e-16,4.89861,4.89861,4.89861,4.89861,45.3758,54.3323,5.02229,257.104,-8.95648,99.708,0.123681
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp134,4.82937,0,4.82937,4.82937,4.82937,4.82937,43.5174,50.0691,4.929,245.327,-6.55165,93.5865,0.0996308
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp135,4.89627,8.97196e-16,4.89627,4.89627,4.89627,4.89627,45.3859,54.3231,5.02129,256.151,-8.93719,99.709,0.125016
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp136,4.82514,8.97196e-16,4.82514,4.82514,4.82514,4.82514,43.4826,50.0481,4.92609,244.945,-6.56553,93.5307,0.100948
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp137,4.89355,8.97196e-16,4.89355,4.89355,4.89355,4.89355,45.3948,54.3173,5.01966,255.27,-8.92258,99.7121,0.126107
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp138,4.82025,0,4.82025,4.82025,4.82025,4.82025,43.4426,50.0272,4.92251,244.584,-6.58458,93.4698,0.102252
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp139,4.89051,8.97196e-16,4.89051,4.89051,4.89051,4.89051,45.3993,54.3092,5.01749,254.456,-8.90985,99.7085,0.126984
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp14,4.75843,8.97196e-16,4.75843,4.75843,4.75843,4.75843,42.9634,50.023,4.84792,248.628,-7.0596,92.9864,0.0894951
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp140,4.81542,8.97196e-16,4.81542,4.81542,4.81542,4.81542,43.4032,50.0075,4.91889,244.245,-6.60427,93.4107,0.103463
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp141,4.88719,8.97196e-16,4.88719,4.88719,4.88719,4.88719,45.3965,54.2927,5.01487,253.705,-8.8962,99.6892,0.127686
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp142,4.81094,0,4.81094,4.81094,4.81094,4.81094,43.3667,49.9894,4.91549,243.93,-6.62271,93.3561,0.104552
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp143,4.88362,8.97196e-16,4.88362,4.88362,4.88362,4.88362,45.3836,54.2629,5.01187,253.014,-8.87925,99.6465,0.12825
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp144,4.80689,8.97196e-16,4.80689,4.80689,4.80689,4.80689,43.3338,49.973,4.9124,243.638,-6.63929,93.3068,0.105513
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp145,4.87984,8.97196e-16,4.87984,4.87984,4.87984,4.87984,45.3597,54.2174,5.00855,252.379,-8.85767,99.5771,0.128706
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp146,4.80328,0,4.80328,4.80328,4.80328,4.80328,43.3045,49.9584,4.90963,243.37,-6.65393,93.2629,0.106351
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp147,4.87595,8.97196e-16,4.87595,4.87595,4.87595,4.87595,45.3258,54.1574,5.00503,251.8,-8.83158,99.4832,0.129077
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp148,4.8001,0,4.8001,4.8001,4.8001,4.8001,43.2786,49.9454,4.90717,243.126,-6.66672,93.224,0.107077
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp149,4.87205,8.97196e-16,4.87205,4.87205,4.87205,4.87205,45.2845,54.0867,5.00142,251.275,-8.80217,99.3713,0.129377
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp15,4.81564,8.97196e-16,4.81564,4.81564,4.81564,4.81564,43.4497,50.2854,4.93022,243.085,-6.83564,93.7351,0.114582
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp150,4.79731,0,4.79731,4.79731,4.79731,4.79731,43.256,49.9339,4.90501,242.906,-6.67783,93.1899,0.107704
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp151,4.86826,8.97196e-16,4.86826,4.86826,4.86826,4.86826,45.2393,54.0104,4.99788,250.804,-8.77115,99.2497,0.129616
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp152,4.79488,0,4.79488,4.79488,4.79488,4.79488,43.2365,49.9238,4.90313,242.711,-6.68738,93.1603,0.108241
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp153,4.86469,0,4.86469,4.86469,4.86469,4.86469,45.1931,53.9333,4.9945,250.387,-8.74022,99.1264,0.129802
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp154,4.79281,8.97196e-16,4.79281,4.79281,4.79281,4.79281,43.2197,49.9152,4.9015,242.539,-6.69552,93.1348,0.108698
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp155,4.86144,8.97196e-16,4.86144,4.86144,4.86144,4.86144,45.1487,53.8595,4.99138,250.022,-8.71085,99.0082,0.129942
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp16,4.76351,8.97196e-16,4.76351,4.76351,4.76351,4.76351,43.0113,50.0863,4.85308,248.905,-7.07501,93.0975,0.0895723
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp17,4.82082,8.97196e-16,4.82082,4.82082,4.82082,4.82082,43.501,50.3639,4.93644,243.222,-6.86293,93.8648,0.115623
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp18,4.769,0,4.769,4.769,4.769,4.769,43.0629,50.1542,4.85863,249.203,-7.09129,93.2171,0.0896286
