obsnme,obsval,weight,obsgp
h_p0_cp138,63.05111743132345,1.0,head
h_p0_cp139,68.13897606266383,1.0,head
h_p0_cp140,63.018363648582515,1.0,head
h_p0_cp141,67.92160231056236,1.0,head
h_p0_cp142,62.98733076346194,1.0,head
h_p0_cp143,67.71316401828946,1.0,head
h_p0_cp144,62.958214368673474,1.0,head
h_p0_cp145,67.51689667391341,1.0,head
h_p0_cp146,62.931142379062905,1.0,head
h_p0_cp147,67.33486109082018,1.0,head
h_p0_cp148,62.906214966618094,1.0,head
h_p0_cp149,67.16830241866407,1.0,head
h_p0_cp150,62.88351947252487,1.0,head
h_p0_cp151,67.01793213567271,1.0,head
h_p0_cp152,62.863135249565254,1.0,head
h_p0_cp153,66.88412742914784,1.0,head
h_p0_cp154,62.84513485879818,1.0,head
h_p0_cp155,66.76706388181341,1.0,head
h_p1_cp0,79.02982667982698,1.0,head
h_p1_cp1,78.73490294106739,1.0,head
h_p1_cp2,79.04936127151035,1.0,head
h_p1_cp3,78.74650794554104,1.0,head
h_p1_cp4,79.07204416580916,1.0,head
h_p1_cp5,78.75992991206257,1.0,head
h_p1_cp6,79.09788512305664,1.0,head
h_p1_cp7,78.77507748395593,1.0,head
h_p1_cp8,79.1268724974697,1.0,head
h_p1_cp9,78.79187488130998,1.0,head
h_p1_cp10,79.15899458297692,1.0,head
h_p1_cp11,78.81026000796189,1.0,head
h_p1_cp12,79.19423900590762,1.0,head
h_p1_cp13,78.83018136623376,1.0,head
h_p1_cp14,79.2325824139288,1.0,head
h_p1_cp15,78.85159487228393,1.0,head
h_p1_cp16,79.27398717449806,1.0,head
h_p1_cp17,78.87445876284762,1.0,head
h_p1_cp18,79.31839540541154,1.0,head
h_p1_cp19,78.89872808592497,1.0,head
h_p1_cp20,79.36574451490097,1.0,head
h_p1_cp21,78.9243502259545,1.0,head
h_p1_cp22,79.41595783400186,1.0,head
h_p1_cp23,78.95126126428254,1.0,head
h_p1_cp24,79.46896512664155,1.0,head
h_p1_cp25,78.97938323536998,1.0,head
h_p1_cp26,79.524727217051,1.0,head
h_p1_cp27,79.00862376743778,1.0,head
h_p1_cp28,79.58326890100678,1.0,head
h_p1_cp29,79.03887924674666,1.0,head
h_p1_cp30,79.644644996083,1.0,head
h_p1_cp31,79.07003994961521,1.0,head
h_p1_cp32,79.70868486538322,1.0,head
h_p1_cp33,79.10199387162486,1.0,head
h_p1_cp34,79.77525827855698,1.0,head
h_p1_cp35,79.1346238513627,1.0,head
h_p1_cp36,79.84419592706493,1.0,head
h_p1_cp37,79.16776667210212,1.0,head
h_p1_cp38,79.91532646511449,1.0,head
h_p1_cp39,79.20094899227962,1.0,head
h_p1_cp40,79.9882167633776,1.0,head
h_p1_cp41,79.23437790250563,1.0,head
h_p1_cp42,80.0620496084851,1.0,head
h_p1_cp43,79.26794699210379,1.0,head
h_p1_cp44,80.13567488328395,1.0,head
h_p1_cp45,79.30149746964675,1.0,head
h_p1_cp46,80.20767761522238,1.0,head
h_p1_cp47,79.3348616417687,1.0,head
h_p1_cp48,80.27702924275302,1.0,head
h_p1_cp49,79.36786560751028,1.0,head
h_p1_cp50,80.34446805964248,1.0,head
h_p1_cp51,79.40033587554173,1.0,head
h_p1_cp52,80.41106938411019,1.0,head
h_p1_cp53,79.43209882815523,1.0,head
h_p1_cp54,80.47753433274592,1.0,head
h_p1_cp55,79.46300218552778,1.0,head
h_p1_cp56,80.54410605325788,1.0,head
h_p1_cp57,79.4928946735964,1.0,head
h_p1_cp58,80.61067390309765,1.0,head
h_p1_cp59,79.5216368856908,1.0,head
h_p1_cp60,80.67688046085922,1.0,head
h_p1_cp61,79.54909658898308,1.0,head
h_p1_cp62,80.74219437183386,1.0,head
h_p1_cp63,79.57514845987527,1.0,head
h_p1_cp64,80.80595632231906,1.0,head
h_p1_cp65,79.59969608786258,1.0,head
h_p1_cp66,80.86741160842882,1.0,head
h_p1_cp67,79.62266498597657,1.0,head
h_p1_cp68,80.92574254098301,1.0,head
h_p1_cp69,79.64399268816493,1.0,head
h_p1_cp70,80.98012038847904,1.0,head
h_p1_cp71,79.66362407058845,1.0,head
h_p1_cp72,81.02980505316779,1.0,head
h_p1_cp73,79.68149628745216,1.0,head
h_p1_cp74,81.07428105740142,1.0,head
h_p1_cp75,79.69752948674153,1.0,head
h_p1_cp76,81.11320592776326,1.0,head
h_p1_cp77,79.7116458477247,1.0,head
h_p1_cp78,81.14639394387413,1.0,head
h_p1_cp79,79.72376480588193,1.0,head
h_p1_cp80,79.0280209099686,1.0,head
h_p1_cp81,81.18060269945272,1.0,head
h_p1_cp82,79.02589183665482,1.0,head
h_p1_cp83,81.22136504393094,1.0,head
h_p1_cp84,79.02348475312897,1.0,head
h_p1_cp85,81.26924772784119,1.0,head
