iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
8,5,1.33484e+06,6.88886e+06,9.18662e+06,1,133484,1.42112e+07,7.83786e+06
8,5,1.33484e+06,6.88886e+06,9.18662e+06,1.1,133484,1.45149e+07,7.79383e+06
8,5,1.33484e+06,6.88886e+06,9.18662e+06,0.75,1.33484e+06,8.27589e+06,8.07671e+06
8,5,1.33484e+06,6.88886e+06,9.18662e+06,1,1.33484e+06,8.6227e+06,7.75014e+06
8,5,1.33484e+06,6.88886e+06,9.18662e+06,1.1,1.33484e+06,8.75394e+06,7.62639e+06
8,5,1.33484e+06,6.88886e+06,9.18662e+06,0.75,1.33484e+07,7.38938e+06,8.64452e+06
8,5,1.33484e+06,6.88886e+06,9.18662e+06,1,1.33484e+07,7.44685e+06,8.55032e+06
8,5,1.33484e+06,6.88886e+06,9.18662e+06,1.1,1.33484e+07,7.46892e+06,8.51177e+06
9,5,1.00113e+07,6.87365e+06,9.16351e+06,0.75,1.00113e+06,8.32225e+06,7.27479e+06
9,5,1.00113e+07,6.87365e+06,9.16351e+06,1,1.00113e+06,7.09014e+06,6.19672e+06
9,5,1.00113e+07,6.87365e+06,9.16351e+06,1.1,1.00113e+06,6.62928e+06,5.88437e+06
9,5,1.00113e+07,6.87365e+06,9.16351e+06,0.75,1.00113e+07,1.06487e+07,1.00238e+07
9,5,1.00113e+07,6.87365e+06,9.16351e+06,1,1.00113e+07,1.01364e+07,9.41922e+06
9,5,1.00113e+07,6.87365e+06,9.16351e+06,1.1,1.00113e+07,9.92913e+06,9.18112e+06
9,5,1.00113e+07,6.87365e+06,9.16351e+06,0.75,1.00113e+08,1.19249e+07,1.1616e+07
9,5,1.00113e+07,6.87365e+06,9.16351e+06,1,1.00113e+08,1.18603e+07,1.15328e+07
9,5,1.00113e+07,6.87365e+06,9.16351e+06,1.1,1.00113e+08,1.18344e+07,1.14994e+07
10,5,750847,5.82101e+06,8.19793e+06,0.75,75084.7,1.34287e+07,1.32803e+07
10,5,750847,5.82101e+06,8.19793e+06,1,75084.7,1.36855e+07,1.32114e+07
10,5,750847,5.82101e+06,8.19793e+06,1.1,75084.7,1.3641e+07,1.32077e+07
10,5,750847,5.82101e+06,8.19793e+06,0.75,750847,9.72022e+06,1.37967e+07
10,5,750847,5.82101e+06,8.19793e+06,1,750847,9.38091e+06,1.40059e+07
10,5,750847,5.82101e+06,8.19793e+06,1.1,750847,9.26476e+06,1.40605e+07
10,5,750847,5.82101e+06,8.19793e+06,0.75,7.50847e+06,1.01742e+07,1.32356e+07
10,5,750847,5.82101e+06,8.19793e+06,1,7.50847e+06,9.97025e+06,1.33177e+07
10,5,750847,5.82101e+06,8.19793e+06,1.1,7.50847e+06,9.88686e+06,1.33528e+07
