SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0,0.00014037986032062663,0.0004650194685519697,0.0007580928243957378,0.0010519587359212224,0.001370349537286374,0.001740842268407417,0.002166062868288642,0.0025769211451136587,0.0028497766414490367,0.0029383002114271375,0.0027888934613338316,0.0023317826574219573,0.0017632699529596238,0.0012775989967789784,0.0009112830455695825,0.0006383935602301981,0.0004288705351481919,0.00025953740350390895,0.00011317380513248978,5.744774424172298e-06,0.00012416014964337097,0.0002554982621968412,0.00037126369239640333,0.00047063893088810586,0.0005530514447199383,0.0006209199958761535,0.0006787846585097019,0.0007315436977051669,0.0007836182787776004,0.0008392785410744489,0.0009039961845003658,0.0009934702446374132,0.0011538795041609391,0.001799721277682196,0.0038254712251084995,0.0021308232208345997,0.0017081587719126922,0.0013027117214569944,0.00042321913084470564,0.000431423276626501,0.0014742668484910466,0.0021929906366765666,0.0020319407559127875,0.0016883090615004174,0.0015766332351915457,0.0016419764256946064,0.0018078829042304974,0.002031090094278255,0.002243588698900931,0.0022765103742536283,0.0021115858577363056,0.0018626715819814817,0.0015873110501747987,0.0013441633002202157,0.0011370452178678576,0.0009278792133700815,0.0006751420646288993,0.00035455496285200004,6.52903417494949e-05,0.0003727084209034058,0.0008165491421860822,0.0014049641359179885,0.0022700030692635056,0.003313714898507784,0.003508059732322515,0.002867389188320717,0.002444196876840765,0.0023532441624017153,0.002503769118663165,0.002985865660541376,0.004664079884621993,0.007256811170171668,0.00422007577923828,0.002140702690819033,0.0013206644129821153,0.0008423394207103248,0.0004812558357951914,0.00013881890102692912
1,0.00011336761388330899,0.00038150580588584355,0.0006289373554471756,0.0008836070889037629,0.0011692941137955576,0.0015106680456944384,0.0019019003208174232,0.002265964351895769,0.0024782726174861908,0.0025073198007483284,0.0023406476037400306,0.0019426422326887852,0.0014718884568017826,0.0010662715408954106,0.0007510628205089622,0.0005119599557157474,0.000331437543978519,0.00019238994918967673,6.797644646386962e-05,7.560781770463786e-10,8.796920470490741e-05,0.00020365920872943827,0.00029978688073614403,0.0003826266218104791,0.0004492182050728501,0.0005006163504173974,0.0005402137605196028,0.0005731950421059825,0.0006071314924858718,0.0006509864949093874,0.0007172081480744299,0.0008452020515758268,0.0011650845371213117,0.0028220753495457034,0.008320628343197694,0.003167472724980843,0.0017163518620964735,0.001182404359478721,0.0003496130456461551,0.00034545354656841343,0.0012568582666024222,0.0018480251965390646,0.0016432661928741316,0.0012890404815872935,0.001172938908705865,0.0012822922327856018,0.0015944385370762623,0.0021036239435362316,0.0026815848610637974,0.0029139974504188222,0.002694301536206531,0.0022624288602585787,0.0017420538993081055,0.0012938711478583194,0.0009640321909476512,0.0007048551161542583,0.00046097471563303906,0.0001919888528775114,1.8861761726499292e-10,0.00027636147549544454,0.0006310211267362521,0.0010401441725895921,0.0015761929990861163,0.0021765647083044153,0.0023090876139029637,0.001981017197056573,0.0017644105477348751,0.0017183281595751338,0.0018002765337054997,0.002059285815454418,0.0029600338899959167,0.004302464221783744,0.0026361165740063307,0.0014757054315776667,0.0009770651689571983,0.0006499976091622042,0.0003774923294301721,0.00010731715248717006
2,0.00016277727864208124,0.0005430418565098576,0.0008922364474964084,0.0012486964871505429,0.001637299955498933,0.0020882916138053728,0.002604718128365954,0.00311197910430048,0.003473518563920107,0.003630089864769093,0.0034928517788935173,0.002959446211506849,0.002272602205719863,0.0016769270694306693,0.0012216241890479318,0.0008771655193787075,0.0006064453085375464,0.0003816225644198254,0.00018090099051420593,3.043822935103127e-05,0.00017978512785511093,0.00035721136406226874,0.0005131563014376864,0.0006464258888193542,0.0007565405472193514,0.0008467115243291189,0.000922119692943165,0.0009887195513041873,0.0010522816383225374,0.0011196846339005487,0.0012017143711402836,0.0013202232659822219,0.0015399092849159729,0.0024404401450935087,0.0054692238189096645,0.0027424066978544897,0.0019747650284992974,0.0014707106514949783,0.0004705567469210556,0.00046803796667789683,0.0016053890930761098,0.002410247877618484,0.0023182387423942735,0.002047479547103917,0.002033704104055793,0.00223965420894129,0.0026128391374268885,0.0031303269743121953,0.0036817614108593053,0.003916732391775377,0.0037445544951156063,0.003311639715485215,0.0027294901690791016,0.002188853471168416,0.0017472179658813186,0.00135711064356918,0.0009544699316004695,0.0004954898161744745,9.933679494946988e-05,0.0005050736465607883,0.0010756957060886931,0.0017869726292463815,0.002782124535728327,0.0039522471593182755,0.004164729431891004,0.0034387188507201006,0.002939425265861465,0.002792310779588109,0.0028847018852655943,0.0032709118124212627,0.0047111844359186625,0.006955811012836801,0.004184348652060299,0.0022622376881421325,0.0014591393651721151,0.000956849247934984,0.0005549973620366257,0.00016110395703332727
3,0.00011303554246732183,0.00036606871762390224,0.0005889845390745954,0.0008015904098329722,0.0010133530104710488,0.0012382119694549871,0.001479865681251099,0.0017034661524131182,0.001842242308548597,0.0018737833020810778,0.00178136233013053,0.001538269921577025,0.0012357375907067504,0.0009621476255956863,0.0007377104127884277,0.0005560479990446141,0.00040289728756951826,0.0002650635856178421,0.00013383464694507023,3.251110576396648e-05,0.00012610624678647387,0.00024736972666730754,0.00035876130825934744,0.000459103975057263,0.0005490319042032347,0.0006360912145847819,0.000730126893712526,0.000806192972635735,0.0008877402464584549,0.0009852818191577813,0.001118296371675072,0.0013312152696061965,0.0017677562105797853,0.0038233607350565886,0.01051844589791135,0.004284751903001749,0.002544141271608492,0.001809198431208525,0.0005798272160026402,0.0005872917014877624,0.001974900603929609,0.002899628523215758,0.0026629905382373874,0.0021719380153055433,0.0019708315731913825,0.0020205450746980445,0.002242205531364967,0.002566313581986091,0.002924550369946778,0.0030649453796104476,0.002910303292140799,0.0025583191305018765,0.0020891645347229284,0.0016494387434150977,0.001288884549448379,0.000978377094522261,0.0006740445050050493,0.00034480442076936763,6.962514786739182e-05,0.0003453650142773063,0.0007233185578798217,0.0011670284530821123,0.0017516889747067814,0.002420779778928945,0.0025821456604866646,0.0022491885705899464,0.0020361907197699995,0.0020093887835206385,0.0021094618173378246,0.0023873254014880746,0.0033867968545450485,0.004940566011022745,0.0029674374956426895,0.0015937493472048681,0.0010148329525435675,0.0006574137162118543,0.000379403931958767,0.0001126933488640872
4,0.00012106401745391503,0.0003899391418800097,0.0006277856871402247,0.000854035067462926,0.001084244419390618,0.001337629492540569,0.0016116168074692997,0.001857388810286668,0.0019973440195232995,0.0020117961072920673,0.001894111049485991,0.0016209589209183787,0.0012903991131427443,0.0009989514567569145,0.0007660833179043033,0.000579356972563092,0.00042185866851116125,0.0002803813459034427,0.00014526326290181753,4.014694615387398e-05,0.0001323399855377797,0.0002545642774696245,0.0003661908799548079,0.00046736277014491613,0.0005580588139431075,0.0006403550993528875,0.0007183701035293101,0.00079709214058709,0.0008805497174451124,0.0009704705470250013,0.0010739952083135287,0.001215048784868923,0.0014573826503657761,0.0023713501162730224,0.005122894756217819,0.0028507843613842223,0.0023043960972642563,0.0017666192468479478,0.0005797652992762658,0.0005954955700149243,0.002011000895589371,0.0029808647756256507,0.0027425065041997146,0.0022497343838243024,0.0020806894733844962,0.002179357952027047,0.002473570444233633,0.0029368519058137134,0.003457852106034285,0.0036858447177684165,0.0035106788832117816,0.003057688869155965,0.0024342375444419847,0.0018595229623319428,0.0014105270433780982,0.0010432946890377777,0.0006954122181138392,0.0003243315232471903,9.387325938781644e-06,0.00036538555311347323,0.000815860007104158,0.001354895686959168,0.002087014190442465,0.0029416390477902668,0.0031183509879447154,0.0026358120371640778,0.0023101273749554607,0.0022247766676730847,0.002286781026847451,0.0025166205565419647,0.0034148187326353413,0.004824656151429887,0.0029387864884554654,0.0016197321988732354,0.0010480400575764118,0.000685235847274602,0.00039717343375470805,0.0001187413664352996
5,9.667210449049223e-05,0.0003670319313217806,0.000628603395114252,0.0009209672475754,0.0012649639124364049,0.0016849553984076093,0.00218455558327678,0.0026929130321489175,0.0030702090287561376,0.0032569115530326344,0.0031491979121059223,0.002640240972857404,0.0019776609818466257,0.001404433011644879,0.0009807863111766107,0.0006760901735475375,0.0004439025215452496,0.0002539393015468941,7.369801498134044e-05,4.287901034388886e-14,0.00011886247440529464,0.0002920066082353041,0.00042909427717431034,0.0005464649007789737,0.0006438562188348714,0.00072642753431989,0.0007985315259240984,0.0008644898307194626,0.0009295330737910326,0.0010004190398585726,0.0010889764793208677,0.0012338654718800487,0.0015496176047347108,0.003178550184758323,0.008588191913800055,0.0032677454762532164,0.0016678464146507857,0.0010902316338023154,0.0003450007079475461,0.0003512540774706935,0.001148552375976703,0.0017081389193473505,0.0017275319025419112,0.0016343765537110138,0.0016893353083758669,0.0018659098181427745,0.0021317806972896932,0.002475544603581585,0.0028519730493053977,0.003097111734214331,0.0031032434901625606,0.0028223182104241693,0.0023117068454989757,0.001795262860296107,0.001366135767322573,0.00100858126999683,0.000686735889700597,0.00036601341227633514,0.00011032950479138023,0.0003324108180457831,0.0006481534967988131,0.000982353258897654,0.0013800152006096039,0.001811800239653303,0.0019159002659675664,0.0017137887037892265,0.001581166562258015,0.0015746961175049457,0.0016812892294293912,0.001985970571615267,0.003020807601449737,0.0046020603781651145,0.002781508627876966,0.001517585704958127,0.0009937859280588692,0.0006588833791840622,0.0003802929291571193,9.907391520121807e-05
6,0.0001238851460147764,0.00042865989461943074,0.0007160501659707932,0.0010184046186409816,0.00136394066340595,0.0017814410324823455,0.0022534325722463606,0.0026699407511780876,0.0028659152867410932,0.0028160485503111593,0.0025755861207899175,0.0021635026766066213,0.0017132150908960174,0.0013129623408113483,0.0009844768805660454,0.0007194918593084067,0.0005060068763227552,0.000328180056056219,0.00016847402142617312,4.502312801638319e-05,0.00014928961514645725,0.0002856688344281318,0.00041048654207618163,0.0005210230746291719,0.0006154402526497845,0.0006957596783371946,0.0007661143028668646,0.0008324271912837361,0.000902464523529202,0.0009862603218321413,0.001098741530496636,0.0012915126641469864,0.0017226220834254805,0.003910568214423387,0.011190308132597202,0.004177980569369164,0.00213713288360505,0.0014265793528404405,0.0004402303502631261,0.00044278203835915035,0.001505383389929398,0.002210568975773434,0.0020781180813887537,0.0017801006459725952,0.001713150533854661,0.0018245488596302893,0.0020469152541610445,0.0023396100980556923,0.0026174042508295523,0.0026622003773432937,0.002451462075351593,0.0021443279654926274,0.0018223533367632428,0.0015261625627686769,0.0012587348129388153,0.0009970654092366406,0.0007105795642936968,0.00037714108734307445,8.179964585700197e-05,0.00033654554999680423,0.0007219371706957817,0.0012122767335917377,0.0019193011356326097,0.0027805111511009744,0.002949650932425717,0.002447458568524803,0.002111142169457469,0.002028731627810122,0.002090839462722117,0.002289227192131141,0.003014944230684116,0.004124145284222828,0.0026227957501859735,0.0015581519719643432,0.001067676105985088,0.0007249983942925904,0.00042694024193841803,0.00012151590362679514
7,0.000116976394611757,0.0004107513070229402,0.000682203569616143,0.0009656944980912818,0.0012756437302677665,0.0016316705142799246,0.002042995772891719,0.0024657075338924135,0.002798328566816466,0.0029865474369619085,0.0029166861270714757,0.0024708927466619533,0.0018667694266925857,0.0013529142587401578,0.0009744892477770613,0.0006972553876395158,0.0004802749938881112,0.000297056503564359,0.00013307876107803983,1.0389605136064569e-05,0.0001453799914515842,0.00029562291116509026,0.0004263300935370267,0.000537464610726308,0.0006301963373954871,0.0007072302597939515,0.0007731535323079837,0.0008333750388343324,0.0008922669418448502,0.0009559082844715551,0.0010388782489707447,0.0011804038403011561,0.0014930980786358405,0.0030599273956174954,0.008184872952660906,0.003228739162385955,0.001770316492509209,0.0012027100706761538,0.0003810575978634214,0.00039125133808492666,0.0012958306594868462,0.001918139184726534,0.001865163660337659,0.0016698567559134626,0.0016580729529958559,0.0018204964332446947,0.0021313236855855957,0.0025847232049457988,0.003093982447417196,0.003358151001835582,0.0032602623147520624,0.002879062710138657,0.0022950246581319883,0.001745282462659481,0.0013173566073054915,0.000969123915930094,0.0006416667141298732,0.00028928709894755913,5.2929475480545124e-08,0.00034418596308191115,0.0007841895604977944,0.0013094778709568135,0.002023650892278169,0.0028526203464756825,0.003024388482943207,0.0025552202848611576,0.0022472284668558747,0.0021865404844244466,0.0022966859583814147,0.0026331497707232886,0.0038358224467381183,0.005735904028431185,0.003426149851109545,0.0018243658568606182,0.0011621244401360993,0.0007543073723583767,0.00043270192792933647,0.00011944353521747531
8,0.00013027484067129508,0.0004301819075027353,0.0006967333771253835,0.0009556810117795916,0.0012284259286739643,0.0015431953712753167,0.0019044954034741007,0.002264361802628065,0.0025292137978965043,0.0026591842760405006,0.0025826385857381402,0.0022210974900330298,0.001746814155674863,0.0013231480323849614,0.0009886778437559296,0.0007280949925212101,0.0005173726959072031,0.0003389329452470725,0.00017571682359534418,5.085289192992428e-05,0.00015468549319289467,0.0002924842041583271,0.0004146560989167232,0.0005185592837200808,0.0006029641242800553,0.0006699348610431157,0.0007239144039939067,0.0007703056631462656,0.0008144790593518581,0.0008619893689623659,0.0009223227580494892,0.0010189434592649887,0.001216661076933754,0.002044657009041989,0.00457456929119193,0.002565162556276513,0.0021420866081861543,0.0016646594571356754,0.0005380729924924917,0.0005485822586040453,0.0018990462806473532,0.0028075400059139432,0.0024869236683206543,0.0019144254338243057,0.001696783321550748,0.0017831485166702867,0.0021225349279317186,0.0026961235529724035,0.0033535580103810536,0.003628216586638471,0.003405315025043495,0.0029369884711398556,0.002361453148798487,0.0018478445410253165,0.0014414893841584507,0.0010957245465167042,0.0007499469753842349,0.00036310344906704617,2.3951509024110787e-05,0.00039854152447832473,0.0008923188366134503,0.0015126858444330206,0.00239512575065011,0.0034442038025094325,0.0036030514786438055,0.0028933031629450583,0.0023862487640975943,0.00221118381941153,0.0022941346919125465,0.0027334830960233972,0.004359635460208386,0.006910831404254874,0.0039961961222997906,0.002002080907151517,0.0012263742485364268,0.0007805267731470433,0.00044585370606363905,0.00012951575521006332
9,0.00013834655357289444,0.0004556190364832953,0.0007443379720679777,0.0010373196473893978,0.0013565782422876262,0.0017271514992821954,0.002143605095053501,0.002534522419160974,0.002784110689409957,0.0028527348568518586,0.002702045286511026,0.002275824909087549,0.0017487576346071323,0.0012937784845993684,0.0009439218062289188,0.0006781187407287097,0.0004682526314618864,0.00029429818593204317,0.00013903477469957547,2.228020691143576e-05,0.00014028548741680841,0.00028038556527364795,0.0004042834070788164,0.0005108722677098422,0.0005996212489263419,0.0006731571254886724,0.0007349922260333811,0.0007900119912622313,0.0008439982218382983,0.0009040100623649333,0.0009807865935245164,0.0011014580050255304,0.0013430434838342395,0.0023783411779709643,0.005664373647875109,0.002852680318377514,0.0021427876215612757,0.0016293280243961596,0.000534942393814457,0.0005478211251003975,0.0018412476385698095,0.0027096585827292427,0.002455943377284444,0.0019648997357034972,0.0017670534089280333,0.0018130711642245856,0.002030537917800076,0.002386418102886996,0.0027900107957601113,0.002962886074964756,0.0028404332947304664,0.0025256586962354222,0.002101525106772356,0.0016987203385763559,0.0013558330268575738,0.001050256214505857,0.0007464486583200745,0.00041688107539537784,0.00014934458004874855,0.00037907657645708226,0.0007334324901312057,0.0011402202007305309,0.0016488320247053242,0.0022095036534418686,0.0023882826690057877,0.00219254528664072,0.0021118871876832685,0.0021886051144372268,0.0023594047488520817,0.002668954776400725,0.0036618923787105863,0.00514964167945395,0.00318070394994043,0.001799514392769889,0.0011894279099702728,0.0007889767280683216,0.0004596764841225282,0.0001344866083149573
