SP,0,1,2,3,4,5,6,7,8,9
0,0.5039312680674608,1.5528904405643122,0.6739588927687168,1.042798263553825,2.8064029455968054e-50,1.7201671754203427,0.990913874367722,0.7543070144176304,0.9406219329886378,0.6919563695973879
1,0.7152350773976748,1.5935458251078551,0.6624767525466903,0.9490638325189232,0.005259526772428692,2.2043557642049936,1.011495068298757,0.5002595880451385,1.1034635682348768,0.7914076532907938
2,0.7137815192409099,1.4000644883976119,0.6557202173355154,1.0710975299494323,6.0929020458507455e-25,1.6269988774645952,0.848689376608705,0.6867288664545067,1.0092742361883604,0.7461028353035252
3,0.688076513173922,1.3579276508367568,0.5606604628096032,1.0536079677419417,0.6081158815632547,1.5469916378071218,0.2986363933114666,0.887131585449793,0.9840301964137921,0.7344584739305002
4,0.6225163418704863,1.4409118588358536,0.677386172830504,1.0794172184382997,0.01783060145830091,1.7379521912789206,0.7915508780316177,0.7889312958971649,1.0382736595218385,0.6939886753950413
5,0.9782778315605688,1.436610057790486,0.688792229332379,1.072636335357232,1.0820761794369569,5.890691208444639e-17,0.6086013446916777,0.7564095608704501,1.2028421687875053,0.8919841761234629
6,0.7934007856249605,1.6659511780748575,0.6939239534081352,1.0702465303265876,0.6956942225085264,0.1749250778731878,0.5389169059191548,0.8525848951206565,1.1355074015198912,0.7878345882549473
7,0.7040450870488347,1.4888126495977188,0.6016955042214933,0.9628251449403652,0.3311793488166653,2.036109241255898,0.7281387540145261,0.6505239302844001,0.9877356160959794,0.7083836739585282
8,0.5355133445963562,1.6135896005588175,0.6605774896003838,0.9694055947525637,3.3953944560597748e-15,3.0743362990976273,1.225152847830423,0.650865651774414,1.0041659205064821,0.7556673290703914
9,0.5787713020941836,1.5597894783041946,0.6236550140218052,0.897675113873792,1.3193880539766375e-16,3.3494166163772667,0.8967706673273175,0.5788522877395303,0.9983563868404771,0.6274526737477321
