SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0.21971843665135604,0.2325601819489645,0.24457842187380305,0.25563206238621367,0.26608425477044373,0.2760817406943763,0.2851288633434522,0.2906356353858121,0.2763038889671594,0.25582255204497756,0.2785217435681817,0.29648805081705076,0.29716739846007134,0.2963755052104335,0.29651981897108887,0.2959128331698818,0.2941264970242353,0.2800349526489164,0.26289667931044036,0.28608362923425606,0.30884037109552964,0.3321322903280437,0.3401495784526497,0.3222238737667348,0.3045688016959749,0.28815331293824353,0.27025629771999016,0.2511098199162517,0.2683281740523987,0.286115432317973,0.30259023284513087,0.310576432834707,0.2909546370962908,0.27023243155274634,0.2516574870244444,0.2348939039763697
1,0.2807064558742338,0.29907084362422454,0.31737566984801147,0.3357366124586648,0.354128475128751,0.3718694091758904,0.3873948720538737,0.39799420148980624,0.38117823685752583,0.354035641929361,0.38450635737197103,0.4078449668221599,0.40233655619856473,0.39480298679623976,0.38923608916838914,0.38377299531298176,0.37826155420283125,0.353064586044219,0.32693305022891933,0.3468519900018228,0.3599661828526933,0.36933242231989655,0.3631963459227655,0.34810734968088297,0.3330999098084758,0.31794112808363145,0.3015819461721697,0.2837333362672504,0.2996984933127327,0.3161313057634715,0.3324706507191539,0.34439400913038065,0.3333035463331173,0.3202439655513644,0.307255257223218,0.2941023818815989
2,0.3664042075294904,0.38915182040694435,0.4117108021344269,0.43389401772720754,0.45576122799832364,0.4767872789698046,0.49551871671042796,0.5082486418539585,0.48415544984660763,0.4500111902618776,0.48611035048082085,0.5130087310363802,0.5135754483267593,0.5121240674904204,0.5108130127103301,0.504035577636662,0.4949009436589566,0.46562277330244517,0.4341497346715732,0.4635042786485396,0.48740307885148326,0.507216068306686,0.5014692530266571,0.4789333966781417,0.4565979220689801,0.4345500662623182,0.410392150180527,0.3846442863547077,0.40617773130781987,0.42803229691616634,0.4480477106815427,0.45885981442526935,0.4419330667783572,0.4224395120552331,0.40340893406878897,0.3846980999613705
3,0.3393413646035876,0.35900028828525876,0.3782214465648577,0.3968669764450521,0.41469052264393946,0.43097602628144294,0.4443284856087823,0.4525108451929055,0.44021754132466684,0.4155185936271643,0.4502162177217773,0.4813706271658596,0.48228630122566174,0.48215673790274155,0.4833357717349634,0.48070334799923753,0.4759121511389668,0.4531236865120206,0.4262554926323815,0.45726131525878577,0.48535652337272756,0.5113892908175542,0.5082887014091211,0.47733448329922923,0.44748682673697215,0.42039647934678537,0.39391959994321263,0.36778569420775364,0.3831752765856021,0.39704521151563565,0.40798931720888143,0.41145458447048494,0.39914472364703585,0.3846150810411747,0.36970546600508225,0.3545748697892642
4,0.34540992024935924,0.3674161165742417,0.38986890094940485,0.41269739164787916,0.4358769353418172,0.45876721719507924,0.4795894390287778,0.4937745155238027,0.47276082960098464,0.4403724167297538,0.4767458315145451,0.5045293073707946,0.4995928359117252,0.49134600391637473,0.4838633185911094,0.4733298246880996,0.4615186742117041,0.43969212103262906,0.4146946216963772,0.4431588871023288,0.4704754219620346,0.4962366434351763,0.49630377307705725,0.4668832455849917,0.43780915084864375,0.4112980572694102,0.3857473470006703,0.36065114341759114,0.37591458125821375,0.39004075827829676,0.40228705145741284,0.4092384648047882,0.39931788839191557,0.38694922454339825,0.3737998692090248,0.35986701262808585
5,0.3605225245310037,0.381317988075206,0.4019592132764238,0.4215710412297544,0.4400873478414657,0.4567168436076471,0.46983158304756373,0.476969206599908,0.45675224865225283,0.4274571450852581,0.46029631195323795,0.48683937559885077,0.48963760333998285,0.4902151472481233,0.4908477899721502,0.4873105877347257,0.4816618125444772,0.455076438448871,0.4260243885269255,0.45474825334190005,0.4783714050982836,0.4980622009283372,0.4914232051752183,0.4718232782139613,0.4522501402795733,0.43225723431927865,0.4089958176416264,0.38418266640660204,0.4052398835911215,0.4274684321646408,0.44718317251186807,0.4561167140770971,0.43806290506678697,0.41761703340005435,0.3978562366206614,0.37861084869012074
6,0.32221287132416554,0.3404655976908789,0.3583493276547496,0.376048512523903,0.3938758942828251,0.4118758596346844,0.42905179371316315,0.4409792558567052,0.42553149461177914,0.3984869491187847,0.43020439274261324,0.45524209609800415,0.4492035339386459,0.4408986590411923,0.4349317298465024,0.42924120169899627,0.42357502439510103,0.3988538267105548,0.37320572061057533,0.39416902377817675,0.4086072129220534,0.41952950831226543,0.41615073834120353,0.4024520942097787,0.38831285984186403,0.3733112152316239,0.35548507841495586,0.3355355168601536,0.35255808918923437,0.3697063848634981,0.38485416359247154,0.39137466031587065,0.37852695230353817,0.36391767166396904,0.3497630477227085,0.33592781558599777
7,0.36902337448153444,0.3916353355026962,0.41513291980817474,0.43824743465596894,0.4611914721186908,0.48319955550033644,0.5023241612530331,0.5146066640267734,0.49086037394191384,0.4560694435912416,0.4930771121132228,0.5218140932339798,0.5162613841800388,0.5067762082705266,0.4968999618944023,0.4816360222941027,0.4648002787551759,0.43769849601504396,0.4103173927606385,0.4353091670171629,0.45782434939800165,0.4767450123867152,0.4756414829569091,0.4584811243973636,0.4404128872540589,0.4216711926952317,0.4000099559997812,0.37699638157361104,0.39885440703887926,0.42264459403676735,0.44544319534501364,0.4600709855849583,0.4433828614236815,0.42400245041797535,0.4051747115402039,0.3864570123849256
8,0.3404716789028265,0.3597457140546337,0.37841142133018324,0.39662484838752987,0.4146592331447685,0.4325103963526493,0.44927514901143834,0.46074948828052503,0.44000632166735987,0.4104421435472224,0.44058749005447057,0.46238938608291374,0.46175042230407903,0.45891192539509007,0.45608628300894133,0.44885730689250747,0.4396741855097552,0.4191932605528095,0.39571233174159726,0.42276255051565464,0.44808131547142904,0.47164156116936606,0.4721212559660455,0.44953557113360654,0.42712737160259506,0.405929813350828,0.3837690803329988,0.360494177539679,0.37852949005030484,0.39641874021739554,0.4128350172466927,0.42198685976583844,0.4064286945715381,0.38892660261934686,0.3722294497654643,0.3561645130485709
9,0.3438476062694702,0.3631376952259131,0.3814551070105428,0.39877201713539445,0.4150405986473932,0.4297155635691712,0.44136631475717225,0.44692737651344516,0.4259614784266156,0.39833441163426214,0.4266700585629033,0.4483871637368637,0.45517117491184933,0.45942269654558165,0.4622875962897953,0.4589013657279024,0.4525290222563997,0.431105097302987,0.4061453907622917,0.4356683785502635,0.46289755511887243,0.4876399918236028,0.4843296931047619,0.4614103753193343,0.4390150633284213,0.4175469789073305,0.39443733711208756,0.37009248685218754,0.3896617868959086,0.4095962825198245,0.4277979256189851,0.43735646287653596,0.4192169855841742,0.39896502008971546,0.3797480799609914,0.3614523007185799
