SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,118.22778957091742,16.065908969730557,0.10134623490166086,0.09975679673302049,0.09964069379400435,0.09966997624973874,0.10904604304139885,0.10122280807976325,0.09927605376950878,84.22209238140643,0.0995057791310091,122.21430168482559,0.10001758674828241,0.09998062685115251,0.09994724802209734,133.02545816522493,107.61594537797149,99.00455116875276,0.09866449793192542,49.08615130535534
1,0.10025023069377023,0.10295734847793893,108.6138973856495,66.73145091507914,23.430174925825195,13.147544600136643,0.03523757797055731,46.58523340295244,0.09932120081746268,84.22258010832208,0.09951742983294685,122.2240162292983,128.71239721429677,33.94419745605101,63.615985185556696,0.10027616177398953,107.61384510564889,99.00785998026849,0.09944080763745923,0.10338872782573712
2,0.10047508516233784,16.059942497796907,108.61226227655808,0.09975954411422852,0.11968093028911983,0.099677467751754,0.2980927750300085,46.59817155397061,28.16806236361977,84.22299525909277,17.66767628778574,122.23517051841746,0.10011573365629285,0.09999125000206538,0.09994704346596604,133.02439373944446,0.1002329367968016,0.10602003121835779,0.1003498922967892,0.10370414303249254
3,118.25629619191109,16.056839501266197,0.10027100354158262,0.09976050013043924,0.4822321990290932,0.09968068348444345,41.74673965522699,0.10306233640779082,28.18004678959061,84.22356678332223,0.09954010672753795,122.24093463523198,128.71920291501505,33.94495351212635,63.61713093919051,133.023482031148,0.10025706335944667,0.10592232026234503,76.16623308905777,0.10402471540754657
4,0.10088674319981267,16.053676031607772,108.60895061142013,0.09976118327921357,21.972366387189446,0.09968355793040581,42.26413377682872,0.10339001597168643,0.09942378633098825,84.22471189614917,0.09751914423645772,122.25225819655793,128.7222061520569,0.1000166087805587,63.61705763106544,0.10044913420773977,0.10031625178146243,0.10573026994662633,0.10672130938580576,49.13691285234224
5,118.26920323600956,16.050421615630274,108.60452884649204,0.09976160103032998,3.3221731826940357,13.069538772129802,0.09985724531631066,0.10355305826867654,0.10080103641756483,84.21991881937247,17.73509125860957,122.25929688556089,128.7249741266061,0.10003055789513475,63.617123171695994,0.10053675735210908,0.10040948685264472,99.01292225701415,76.27401566503127,0.10478515801484754
6,0.1012253900491326,0.10052307116850115,0.0999931857422097,0.09976177972502275,17.295254861044818,0.11149207169543607,0.03812240297426336,0.10356709010145167,28.197335830052577,0.10857369353159103,17.582368648082696,122.26175093277305,128.72774440197918,33.94611325287594,0.09994018059232689,133.02030538585763,0.10055254768108977,99.01221840846061,76.29338257675916,0.10514771458400471
7,0.10133767647491052,16.043638614324294,0.10003979054465514,0.0997616857252979,9.09143531838315,0.15006906369726794,42.15535401164762,46.62416840071052,0.1056808729547076,0.09111808847942081,17.796450126935728,0.10166176890449201,128.73002224078948,33.94642427651286,63.61598580673257,133.0189637383502,0.10074221132612839,0.10471316698237142,76.30769954384344,49.154606734755625
8,118.28646771664957,0.09981813300924211,0.10013335204658898,66.73482539174229,12.47195731094463,0.22381451218021603,0.3410429619219441,46.626089748564816,0.09221049336886962,0.1043719194972433,17.60036043788973,122.2730095215854,0.10036896905830989,33.9480415323174,63.61451516325063,0.10084483363081988,107.63497596614016,0.10427369724146959,76.31879638681008,49.16015986376912
9,118.29127937056772,0.09953418094908069,0.10028355503230639,66.73309764201508,33.759788143840176,0.35362272178270615,42.00252387548709,0.10293551582897878,0.10985178119386999,0.09914220161703823,0.044664583834516804,122.28001446305956,0.10019623186669936,33.94197419225026,0.09993117933304592,133.01558630450054,107.63802594716896,99.00594700791171,76.32733215713282,0.10584509339632099
