SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1604.143279790078,0.03161044043079909,1005.140727905326,661.7998776821797,0.016451637462853053,2.6704907666949533,1.4451012937191976,0.013800653915014635,4.583952187242296,0.6002396058460057,216.3657657881275,1723.1322035994135,267.7025975356238,0.01843671754828377,1484.9040390631403,2637.8155523836476,0.14405440460396746,0.5827864506376738,648.526709242679,457.7706783146395,803.8811749137456,1522.052797902493,347.37526437973975,536.8446558559174,109.6268047555879
1,0.036732503240680676,0.0167364708061739,0.5078401033877933,0.10818650368040417,0.0210475075034182,1.36104460196798,1.3620245839714775,0.0023252588116354604,5.874077845664885,2.9759895589643297,9.089758818844123,0.001150376637318426,37.27608721153474,0.011553129693216107,3.7397806994834832,0.26175244504442285,1.412467132562881,0.38068420731054353,0.2904860829834055,0.07635432596826915,2.6635175772450044,1.6550853516453805,16.605792901107503,31.25039391971831,4.248205146491333
2,0.9357790466491339,0.01315557855290847,0.00752109388208763,0.44500710107429825,0.055292065038154474,0.2291439424582563,1.1367548788266495,0.008868927325703936,3.1669483415636255,0.5553698383226082,9.473454152937592,0.9311968930515537,13.45577343932866,0.08996379844779633,3.342860418435458,2.7119705267599294,0.0023006107337403678,0.06603280101305856,0.25328114330536905,0.663493834015315,0.6413190190471872,1.4287858787540577,95.84771128032888,33.813567885770134,14.709343905166138
3,0.5186976431385804,0.02472583394568121,1.3790712909380887,1.1127463386882355,0.025004635011552683,1.4493228347282312,0.9505903325753597,0.041978403376547,4.270167751548453,2.093177380592627,5.154394462139105,1.2946112579297258,20.764150013835778,0.00028355629001397705,2.864468648979485,0.4218990799337594,0.7511879304837493,0.08741449754966187,0.05785160557764661,0.7182469822179102,0.9495642379578955,0.7408541467654186,34.21820412192323,36.67706014534996,4.800886744872203
4,0.23741040298300958,0.018826104562137083,0.2200074292016984,0.13894526889642672,0.07476004757749144,3.378703106006348,1.3425049848752986,0.011344690960166508,0.047086407196523884,1.9423681922616918,5.416182745647048,1.607484769679289,10.097350612077754,0.047799576348616916,0.8858040805566681,0.8891153267718732,0.8522763864172418,0.08068207417310262,0.11508612442680527,0.10430191239001768,0.0580501820011917,0.2309390369370052,72.6629654160285,24.367521298243698,7.6016311325793
5,0.16331385110916383,0.008046452607361844,0.9936849151672694,0.47826060570437806,0.02974722724389516,3.486157376565057,0.9068337621419552,0.028893725582467392,2.7491730522966895,0.4166666027248629,2.915076990240459,0.7723709709359246,2.955310796306932,0.1878541782995044,0.34369129052042474,0.8461893466779782,0.17659196404620836,0.1734015236644257,0.08599154765267968,0.01919861848406684,0.06735350890575158,0.5545477616301908,8.821431558785246,11.453726806843624,0.1549883734554501
6,0.15792335844530947,0.013917343886373633,2.6059030911540972,0.6892317160512417,0.03068970368099651,1.252417400338199,0.23728127359235193,0.058609766997057264,0.91417300122407,1.365170958273969,2.6270927551779057,1.4886123947189203,1.3596662781595128,0.168894679424293,1.7844754828544533,0.20653160604846568,0.264032993295058,0.20908186752613908,0.08701722016357502,0.07629778790003428,0.08242509882961242,0.26475986672072754,7.990578625462905,10.174426000039027,3.137621641705171
7,0.30600214905846834,0.01362708643207982,1.8530610797012912,0.48648322381353665,0.017172621897821403,1.1284808040942613,0.868884505014525,0.05972656961147214,3.4775528188052363,1.8813395718785157,0.831005941870961,0.5223761985450247,3.269595248336946,0.07242545939271183,0.0455982677413608,0.589053866961192,0.43636763936976763,0.18064765312183897,0.01216915673619566,0.037675654968525575,0.10851141126982024,0.14084733345400438,30.939054500614038,7.659401755982455,0.8452663647928707
8,0.26604771774680497,0.029392856840112357,0.6547897660964015,0.4191149653300625,0.06120124833435414,4.236199054417346,0.27741846077727467,0.05594495165349886,1.7593922740849008,2.136109404756778,1.9143341169212844,0.0069566056865314665,4.210918394974857,0.18613825183824545,0.6756104230706753,0.0179749545218309,0.10189785944047779,0.2471062926417997,0.0806429132227724,0.022503214866491476,0.010756103603615449,0.0075651349106942165,21.935600962713274,8.115611457514847,1.163866686469105
9,0.06535535430990787,0.013468003508785414,1.7491634464575263,0.11043735291864026,0.10676098379635202,1.5010211033624612,0.5090278642064493,0.035568622246938304,0.6829374552442031,1.1769375093122032,1.813220640393463,0.3497939139235767,3.312407543713201,0.28558134900747045,0.7015489397363961,0.2704924968747452,0.18781215348497987,0.08382241030492475,0.09253111769255155,0.015956212812558927,0.03490151852128883,0.12010241436473706,9.214778126003678,3.9165276300576335,2.1110628438527472
