SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0.21959150981785847,0.2326095469260281,0.24458254931569456,0.2556347278180562,0.2660863940508822,0.27608386431887233,0.28513147031164365,0.2906397368081386,0.2763512926348026,0.25570070757152674,0.27856903143046896,0.29649197392418625,0.2971697962378901,0.29637746602727155,0.29652167396365936,0.2959149668010381,0.2941300808038072,0.28007523033588644,0.26279330186445815,0.28612398866431743,0.3088438081602023,0.33213463441285107,0.3401515868910465,0.3222257319005415,0.30457112696466737,0.28815689517255283,0.2702980048100274,0.2510032922694547,0.26836985406897984,0.28611903738493183,0.30259256909082843,0.31057845643719517,0.2909567485564928,0.27023492687319006,0.251661492540987,0.23494318104543055
1,0.28070330037937286,0.2990726291965613,0.3173759659022206,0.3357368300849819,0.3541286545546729,0.37186957175947555,0.3873950140819957,0.3979944863017444,0.38117840312054785,0.35403594085817414,0.3845065062679298,0.4078451770831002,0.4023367968785472,0.3948030257559827,0.3892363017440976,0.38377304834648385,0.37826192054215646,0.3530649753143855,0.3269336241304428,0.34685274338394567,0.35996686942377654,0.3693333483592678,0.3631974971939531,0.3481089166420839,0.3331023641751738,0.317945470134922,0.30164007068577536,0.2835817424087299,0.2997565178588051,0.3161357515137624,0.3324729583426391,0.3443956143060971,0.3333046467300269,0.3202448049637372,0.30725595656194127,0.29410443954052656
2,0.366286453506258,0.3891975625208399,0.4117146014369544,0.4338964600745472,0.45576317457108395,0.47678919632850025,0.49552103763326727,0.5082523768611562,0.4841969517454583,0.4499046718433606,0.486151754005939,0.5130123754201605,0.5135774392172321,0.5121259044931463,0.5108146765360768,0.5040379104486377,0.4949043246494389,0.4656641884718393,0.4340429546204092,0.46354580906383624,0.4874065292104257,0.5072184246410743,0.5014711025712435,0.4789351284301837,0.45660005624218947,0.43455334004152935,0.410430545256955,0.3845458593583899,0.40621613197077533,0.42803523717073677,0.448049977496372,0.45886178887266826,0.44193473051338206,0.42244179391615067,0.4034126516478471,0.3847437598443504
3,0.3393417371537284,0.3590004509465654,0.37822159460846017,0.39686711937397945,0.41469067132698,0.430976186200712,0.4443286506511601,0.45251112070139055,0.44021778286272095,0.41551916454386095,0.45021639072396535,0.4813707481318703,0.4822867764815939,0.4821567408399128,0.4833361133885328,0.4807029905838709,0.4759127836272725,0.45312369842432876,0.426255517369694,0.45726133403030467,0.4853565211359889,0.5113894627801967,0.5082888724184977,0.4773344843439995,0.44748684216163603,0.4203965013137463,0.3939196117928585,0.36778575203911235,0.3831751370973233,0.3970459074800994,0.4079890985521226,0.41145447067093066,0.39914525153114067,0.3846150665247565,0.3697054772559669,0.35457496344274464
4,0.34534005928311284,0.36744495815292844,0.38987230084287017,0.4127001636401042,0.43587975836148907,0.4587706501006359,0.4795943168623191,0.49378289007629395,0.47286584764662454,0.44009981807748666,0.4768504901032564,0.5045374261191533,0.4995969461545746,0.49134879845419377,0.4838650666078079,0.47333157315944074,0.46151946320318427,0.4396931318886761,0.41469648695164807,0.4431594737461406,0.4704758810437255,0.49623719168319536,0.49630432894079846,0.46688362313185383,0.4378095681490173,0.4112985386713204,0.38574792701198035,0.36065290252688875,0.37591533379094777,0.39004083414624446,0.4022880138164169,0.4092396398874092,0.39931839891249066,0.3869507732732771,0.37380240750254323,0.35989521854330686
5,0.3601504234532218,0.3814622319566654,0.40197076889761885,0.4215781208587073,0.4400925886788212,0.45672153821235106,0.4698367486297652,0.47697657455073283,0.45682957823963655,0.4272611933178547,0.46037313442764294,0.4868460658852509,0.4896418036566397,0.4902185340053178,0.4908512471913058,0.48731483413853116,0.48166865049205665,0.4551541691641292,0.42582657443779226,0.4548267646508579,0.4783790620620385,0.4980680388103673,0.4914286502809784,0.47182952761380736,0.4522588514779837,0.4322717475161806,0.4091810710509485,0.3837025193141157,0.40542522603708253,0.42748335005755855,0.44719230144978894,0.4561238194900037,0.43806972213850415,0.4176250131958259,0.3978683832786354,0.3787554643678428
6,0.3222150181782677,0.34046636243766404,0.3583499986580332,0.37604913419647534,0.3938764944640196,0.4118764608658818,0.42905241718236997,0.4409800667386108,0.42553227980961505,0.39848901369725365,0.4302050370622279,0.45524278688811215,0.4492040154640389,0.4408991270038589,0.4349321263086159,0.42924166262532015,0.4235755953865672,0.39885440528016947,0.37320756031927615,0.394169715659606,0.4086077954445706,0.41953012321579664,0.41615131266279004,0.4024526147401932,0.3883134103146979,0.3733118212159212,0.35548576340232785,0.3355374517539582,0.3525586925991657,0.3697068235538783,0.38485471043147257,0.391375243109092,0.37852737085081856,0.3639181145096382,0.34976358353878734,0.33592846746382055
7,0.3683636930872707,0.39189205757097234,0.41515454310616295,0.43826153573016935,0.4612029503751076,0.4832111381939894,0.5023386031033859,0.514629250521276,0.49112952682163247,0.4553764660310886,0.4933456751252292,0.5218359632372094,0.5162748230294891,0.5067865668400975,0.4969099697584669,0.48164795699542307,0.464818425332691,0.43791176028501777,0.4097705686830624,0.4355225783610104,0.4578425313728278,0.4767570635789138,0.4756513692397055,0.45849108795250526,0.4404254072417757,0.42169068156679224,0.40024368726258164,0.37639557351751485,0.3990880390286833,0.42266404885693465,0.44545575499908985,0.46008138268212484,0.4433932438580488,0.4240157223887291,0.4051956353983872,0.386713186824573
8,0.34047172252894153,0.3597457237882269,0.37841142864268296,0.3966248530262897,0.41465923620277323,0.43251039942036495,0.4492751474292076,0.4607496630599055,0.4400063261942728,0.41044206325871446,0.4405875157804706,0.46238952086953944,0.4617504391475462,0.45891194849397987,0.45608633679552923,0.4488573397739364,0.439674291913418,0.4191933195768742,0.3957125333921674,0.42276264789597295,0.4480813883300394,0.4716417622456719,0.4721214609806976,0.44953564159390336,0.42712746302514315,0.40592992815794826,0.38376920980061957,0.3604945507607926,0.3785295876795498,0.396418815268353,0.41283509693734555,0.4219870495292861,0.406428729016139,0.3889266287728157,0.3722294770466954,0.3561645380014644
9,0.3438482137575667,0.3631378229773521,0.38145519692745733,0.398772087351591,0.415040660307576,0.42971562524962614,0.4413663720987513,0.44692757656565796,0.4259615537351422,0.39833466376516213,0.4266703125892519,0.44838754506226586,0.4551715650490209,0.4594232428570324,0.46228844084198606,0.45890265286913046,0.45253141701144006,0.4311359451212624,0.40606557800813814,0.43569963202985207,0.4629004183670187,0.4876422118724859,0.4843316946297911,0.4614125348608722,0.43901806756230854,0.41755199320465053,0.3945020426204744,0.3699239668830394,0.3897262577682108,0.40960097515282445,0.42780053127155604,0.4373582169844781,0.4192180417325817,0.3989657852020576,0.37974865549041503,0.3614527581305369
