SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,758.0882364964759,192.1213050364074,1078.6208896882836,311.7944619149163,0.08504200322261493,0.25781432894455314,95.51463178179245,139.7444416648496,222.93251978128578,1084.0316283798757,2.8259064106868728,1047.4577260151193,470.9730200437514,0.17205196629822675,0.9510831053286937,1261.6518986055344,977.9891206263123,862.1842267188129,598.0703453098215,225.40384746188184
1,560.3549947045885,0.47593852724829583,11.282166821805676,160.79726471973376,0.24478594517687732,0.7154862821418927,4.033257585335116,107.56971722658604,10.136760983185036,3.6382031432783175,1.7951499339893435,265.9730180644211,477.03531733181904,2.6090596421914865,0.5042382833431481,1.9062253263756482e-11,0.005993890917391186,5.42017976164702,60.148012336472405,51.085084488968064
2,20.122999918692035,0.20371650174317407,13.297389094391873,29.675554793503238,0.3835755925770202,0.7059586845552015,4.325159489507633,35.49328435516895,23.554061200637705,0.4669588836953566,2.8060069882705867,137.20645378018446,461.47659757697403,1.8438538939725873,1.5973211147880095,0.035256272666763455,0.25199026061150603,0.0016349633573686923,62.02827984616866,31.218201925499933
3,11.748348364636861,1.2433839970747358,8.32356439682871,92.60503509074576,0.31996424664317213,0.6711831642388693,3.3465893535766016,4.5911414927980365,15.521108753520311,0.006916364932473383,3.2011878710857213,23.77979198210517,132.51292521544715,1.4444993441911405,1.5091422051324346,7.042926665589409e-05,0.3614966671369368,0.0026682391299795616,162.6699980540861,46.55170743979158
4,13.391273811218895,1.072035200698213,2.500606178615421,1.6567455552592827,0.43679164370631374,0.56776382439862,3.0279196319946813,32.45707823382249,0.8178128984532017,1.4258256810046113,3.1362890953654676,22.53046719817925,22.453322951340503,1.7679618550902252,0.12480796646982462,0.04383127675214663,0.11472401817777858,0.7690540478367455,93.02583146359186,56.38710954747857
5,8.303947561375391,0.749778549687554,2.322891529942059,14.196238056443985,0.33247908337150317,0.19841461735501062,0.18996048853766734,17.100252266952584,9.738527995958112,0.490334511752644,1.2484457501640807,32.588800046265064,21.826498960827756,1.483630926781661,1.4794136489073906,0.006353377730054928,0.7556936414480638,0.536113216351656,0.7043977855436957,50.83395766062363
6,3.8981423413816767,0.1672402343024825,2.4829754128871606,6.406403658737938,0.2843741827122267,0.5011452309569069,3.0482677680473906,13.313844651871852,8.313867875743723,0.8664154262946451,2.604474453095456,11.162261463188836,60.375395960965236,1.4853302092555614,2.1623452979906794,0.00016123069435068594,0.1252587139814908,0.012639185511967991,0.9656051666016419,2.3627902504076865
7,3.6424405984761723,0.6740238535857502,0.8419768706382683,4.306530135228267,0.4287533813564143,0.4861571426223558,0.7624366353348447,7.799108650785207,0.8339723305452121,0.5402547362843434,1.9844118088047442,8.908325952182276,20.934804246636546,0.5675674886279581,1.2343899820798259,0.0005054607857198294,0.01909726323287402,0.07894312057810224,1.757549074486852,8.930398645137725
8,4.218465431645833,0.6344546731920601,2.2602408443983797,3.6379317504129274,0.4968711507099549,0.5566601830117937,1.247130676843663,5.481688310467057,1.524776128286465,0.08471674308879915,0.5166032486533697,8.339824558213765,30.364375132235264,0.7166989776619463,1.4642014569712503,0.023297554217282464,0.4164480786936544,0.008185345833454701,1.3807124307523597,7.710849447602278
9,0.5452250795632432,0.3734307680401587,2.5350062701641547,5.03260292199669,0.5968176323027627,0.5002190842262757,1.3214426234107142,3.8709947370870235,3.786313456815428,0.5727943154019985,2.29030240580942,6.460682912268457,6.653119530928182,0.3678268370693809,1.5484209098640904,0.021243098612057143,0.004799682201955645,0.14586888623818015,1.0171453602467009,1.9364124093912805
10,0.06947100271831563,0.07779157076507003,1.4385044981335915,1.4382563629308436,0.670757135877318,0.13211567458933776,0.5131235830787648,2.515444424578575,3.243827434754505,0.5495707192423316,0.11414490823893621,0.8308242183585448,17.30255044670663,0.8191897132583871,1.5865921600106347,0.019838111226651193,0.0053638959309885445,0.008988528357935514,0.11837808271149497,12.70501476183673
11,0.9294712040522844,0.3411877222847,0.08335513499650953,3.296040207619675,0.42555864573438756,0.02433056913173906,0.0892657090330363,2.9469762237656862,1.0821145193564967,0.47792509492144003,1.9426587518584286,0.43862876037200893,21.88617309737668,0.3623092843304954,0.2888129582660478,0.018537265754138915,0.01895554853828451,0.004836117355812577,0.2775717494189208,15.269041418470186
12,1.9850152617772505,0.05809322391563943,1.2437126980292263,2.077362742173223,0.8196504119118725,0.1686165002332652,0.36943417468768686,1.4013138455887237,1.919046864707165,0.3419625050680545,0.8428590211502991,3.879340447423358,1.5465804499671472,0.6540457650600264,1.2866507447742286,0.0007578684283606888,0.024885805757431413,0.11212341808836859,0.12867368891656467,2.124179047398358
13,0.87800424853434,0.13411773070705532,0.877048724648886,0.6409595473715616,0.7807914328277912,0.6043646385123858,0.8780931887973199,2.106159591099573,1.4325449198446758,0.05140147921809185,1.8714399508681354,0.6972370388347637,3.2505812642872454,0.4778249747334667,1.1356006656222004,0.014826741142598661,0.018643367307738634,0.11102988121330855,0.08137564938083297,2.4598232122627888
14,0.11901075290557227,0.10377336708445395,0.37113145826479543,0.5739924852048166,0.03464862761067467,0.9759342478304244,0.02822125144415686,0.989169850083593,0.6960636200224046,0.43439684073334117,0.5505323972877365,2.88334539260444,12.329085932468391,0.24996128090801348,0.851903786666222,0.014119559784518306,0.18501729015951487,0.10441467170330457,0.1747864966295013,0.43669623348698866
15,1.0033909437558424,0.23313353765415548,0.21425983379063487,1.891612674281592,0.09507801886883176,0.7596648681425315,1.3109980819127056,0.13264003036934108,0.39495234915826405,0.33568092487613604,0.8487683573818317,2.0090420281122463,11.407606027968052,0.28943870961849977,0.39377629146293963,0.0004173506402604591,0.17497555565068543,0.08508754790304746,0.6576247456337356,3.297104949171347
16,1.1236499760216256,0.24716221124347465,0.47128006531373945,0.8097248521707597,1.0105683705961177,0.9044166750856365,0.6998872074666987,1.2994781137473554,1.327203111853623,0.12244989638869265,1.1155953092503885,1.1174147630438707,0.6824736849673767,0.3204881860153563,0.44592763236597577,0.0002691420939630436,0.17129247746293422,0.05299900284753598,0.565250166602333,5.734937092392327
17,0.4734430370620319,0.11893051989957892,0.5597393379814247,0.4241110534918635,0.6197341480452142,0.018095716354380016,0.3995884752870126,0.33617747268866743,1.5042598652732682,0.30271436541555596,0.29064995758926265,2.167395253501459,16.620518748945603,0.17924237310148802,0.643374294805081,0.014199143030973242,0.030743028614730276,0.05719201591410503,0.42913554227162237,5.2504978540320435
18,0.5457606428165217,0.05521038846066631,0.2657528407438663,1.2309381332271272,1.6062314305111518,0.30850275199286276,0.14562951164487078,0.8650289856204758,0.4830972289103687,0.2577388082564661,0.6376872154580494,0.5461071895278948,11.397813179389308,0.03406843964582605,1.0631241421272655,0.0012740058696732468,0.07758432425515172,0.07833333592868191,0.29586720410578476,2.480266094232542
19,0.3343824606843066,0.2271019266224934,0.35674898327394844,0.9193259116057357,1.7537535991065705,0.698743449288758,0.6246833818358238,0.4673455841889433,0.6423939138505135,0.2650009788478806,1.1217906567472509,0.15596820850422918,7.058814734059974,0.2146651305234201,0.6956122222761135,0.0011444762156885863,0.07225254437567523,0.008924363616342456,0.07759110944291917,0.42527368133486815
20,0.1437432142526293,0.030787189957347763,0.04303109298579727,0.24922882814825215,2.83297321485885,0.6101979002383322,0.22429542416040135,0.31270083364801615,0.8909780290449127,0.34453683308842914,0.6419476679509228,0.38989319615138773,11.161886995037657,0.0911733239187027,0.03522594303455613,0.0004621049962272347,0.14026509777228058,0.05612908252021465,0.3356787822987657,2.4163253516358716
21,0.32181960274193616,0.11559046325481305,0.22412770820884256,0.1994776105524979,2.4517244256946955,0.03870984400788813,0.9435872777081499,0.3990345276427994,0.0399284013188679,0.23703366538546713,0.7014922505079939,0.8615357587585787,9.236288926394394,0.04110886092045855,0.13457712556808654,0.0004921932400214658,0.07445464439953328,0.0844485565641929,0.048995006521944266,3.055031431182618
