SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1972.2933554593517,28.187768739574572,1.560575995536941,266.9319957782502,2085.9570053595235,224.23956794691782,1053.0797868083828,6.158129083188924,0.10992863608073819,607.3366687933456,815.5416989225594,2322.577999927022,14.348458791928422,26.241410507216308,109.58506758186046,2366.0620023110228,1974.6922691467064,1823.3847665873416,0.00975050210843484,892.0475011303787
1,38.46086034366208,16.272466124871126,5.994717316788551,570.5991777468953,4929.957565666059,533.8756318503579,2706.680850896902,5.629437669193304,0.33059280471110564,386.630986817389,1876.74386850019,172.56366958196742,53.823043724377264,158.40045812532085,427.9704897654082,22.267697471260785,9.198352516755929,5.542735730152126,0.015436192169837014,28.010928209659344
2,48.35344732062266,35.34482121604166,10.616854195361482,79.19709852013987,380.6231674174578,425.4164630042924,1236.9163594088252,6.99691160714187,1.2893900902637292,407.0075702884888,209.96248409607438,291.5855087979626,3.5199292129861655,342.2939678019917,542.3141376355911,20.055682907496674,8.322424691155113,5.220973768047155,0.0243484316677987,21.61893576425561
3,13.263860825827184,45.46192930250369,15.471354656792382,455.9632174270196,801.7970326944505,870.7563386467193,265.05994649107674,3.7425633411409325,0.0007671871569483089,82.62349797715048,884.1336713688924,587.2724380604301,185.48145785797317,246.8598985549876,179.44325019272327,18.080676145861798,6.569532067992452,4.3305474729674955,0.03816774845416187,15.688742109041844
4,66.07454245985198,4.931910398485642,12.311147388366999,14.788464655967674,2887.566127784581,470.4477125539514,1566.9198345156065,13.291807657371406,2.4705557348649907,373.1182027607252,861.5936818071411,675.6410021096966,98.58771260332014,156.27834517817087,508.46419365270384,16.329878107441793,5.810226964094056,4.222328176836316,0.060272239753055894,10.614541551048074
5,1.979006617057784,75.2986893655203,1915.0022735176908,439.2690257496291,1507.4043171964263,1699.5890718687347,935.768048554265,850.1789561818553,4.115830022205502,639.3777436538562,396.61993371018644,154.9781687129337,933.383991257558,74.49097532108435,231.18753166515322,14.799831937053835,1965.2408125383572,1819.206880885577,0.10736138553756282,6.267230590175711
6,57.35487685991501,13.850528615818003,15.074227082851591,939.2456471288281,1442.2421102859482,658.7513437312886,315.4615468387222,6.699505207630657,7.431225687650288,610.5286906625643,951.4453767250739,1036.7138422403789,119.49790712490689,130.32648268824235,512.3188533294749,13.47543036825808,3.0783273011437355,3.2193810335579105,0.23314847771575217,3.2555792163942177
7,19.02939284751784,52.56413313223216,13.614097581106645,397.6558907082701,698.4745398816885,822.4454577658518,62.588888010387116,8.921684593247896,7.4592267543741375,497.95864030271605,775.5568817643141,725.7960299720854,153.5010640984581,492.46193689656536,216.58053974857197,12.33687509983562,2.0032964992530005,2.7935699506137865,0.5999753171386658,1.5944682338783323
8,19.256102426245313,52.48705836907213,16.565819257924645,270.3424061544249,3195.6128155984393,1923.5018886913047,213.42449765791574,0.34503417817331383,0.9070536297303821,199.34125265461572,5.538412227249899,409.82209789647357,126.93145097433785,187.85259294778302,113.88084364022457,11.371207373944403,1.2735440511652696,2.358004980246788,1.5265924728346203,0.9092462696876296
9,28.636965070918382,30.992767440334756,13.245837667244894,187.1545739804063,412.75752670841746,379.7410734412065,1283.2974828291376,17.866798692863604,6.198002894909856,473.780450209128,852.4103775598102,826.1572960943677,208.79874204115958,357.0537408416835,1611.9625353980891,10.550096737633917,0.7389766363345674,2.0745197475824413,3.314153556997609,0.6523225005681431
