SP,0,1
0,2999.9999999999995,823.1842202958403
1,2177.8450928960565,5.750097224506231e-18
2,2.97817467487171e-57,4.896314483453498e-18
3,1.8740525428991826e-57,3.438573262770685e-17
4,1.3476287172966933e-49,1.0417387730220335e-17
5,8.708906253951679e-49,3.8808465530958426e-17
6,4.979141404671636e-48,4.059380253425613e-17
7,8.876215060511161e-48,8.714192905035477e-17
8,7.772671229613974e-48,3.026615480151106e-17
9,4.207531981696172e-48,3.5538872032442524e-17
10,1.680596028713265e-46,1.1923043387885282e-19
11,2.655986429624592e-46,6.012313478685541e-18
12,1.3872276945085367e-45,1.9565406426293333e-18
13,6.306027510226673e-46,1.2201965588510866e-18
14,6.282393588277683e-46,1.0988142352881924e-17
15,4.2352148498473116e-45,4.430405830613618e-18
16,6.36449423825994e-46,5.639298035815978e-18
17,2.7531267266305377e-45,2.4285216283459653e-18
18,7.160480987631337e-45,3.481783937199536e-18
19,7.256176655311478e-45,1.3860108062992055e-18
20,2.5490905414268096e-45,2.115780148376151e-18
21,2.1168061300635701e-44,9.0286370949372e-19
22,1.164710677716876e-44,3.8822615696107064e-19
23,1.556391516710279e-44,1.688060821755407e-19
24,1.5716840072755424e-44,6.463113031402287e-20
25,3.9547963947585687e-45,6.067609675454098e-19
26,5.68292854612759e-45,2.4305735532529797e-19
27,4.189312788716188e-44,1.0227394217985467e-19
28,3.501338875914921e-44,4.2657167814431185e-20
29,6.769783726051248e-44,1.7387827614353345e-20
30,2.8777785926268755e-44,5.809998684711692e-21
31,3.868739251175962e-44,7.334981430313638e-20
32,7.301642521241914e-44,2.7882694560816955e-20
33,9.490957550572634e-44,2.313403160990902e-20
34,8.767683899692237e-45,1.5904201637557063e-20
35,4.529241419181018e-44,6.339437897598245e-21
36,2.1426720778219584e-44,2.629981983521138e-21
37,8.291951025201739e-44,6.7470586094150256e-21
38,8.606832643015352e-44,3.144796093878128e-21
39,6.11849725076659e-44,2.6686591395065277e-21
40,8.923980765303124e-44,1.911676595714702e-21
41,6.631355896186153e-44,8.338550068999216e-22
42,1.1057967426923167e-43,4.018538735423508e-22
43,2.911735533715655e-44,2.167980103906552e-22
44,1.8243155986087538e-45,7.076417049291779e-22
45,1.1151116484387532e-43,3.995172296757627e-22
46,6.862051840267167e-44,1.9883293389725882e-22
47,2.7429386821086083e-44,2.733686521645706e-22
48,5.543874220214449e-44,9.616128606577646e-23
49,6.783900200144071e-44,2.088974358962347e-22
50,5.651952272243505e-44,1.5991202620304315e-22
51,1.1249944632307901e-43,1.7042540898975152e-22
