obsnme,obsval
h_p0_cp154,5.1265010370116215e-06
h_p0_cp155,-1.9738308765226975e-09
h_p0_cp156,7.67763594922144e-07
h_p0_cp157,-1.946091288118623e-09
h_p0_cp158,1.0500752978259698e-07
h_p0_cp159,-1.7350885173073038e-09
h_p0_cp160,1.4733814168721437e-08
h_p0_cp161,-2.3669599613640457e-10
h_p0_cp162,3.454715624684468e-09
h_p0_cp163,9.422137736692093e-09
h_p0_cp164,2.1400410332717e-09
h_p0_cp165,6.459504220401868e-08
h_p0_cp166,1.994976628338918e-09
h_p0_cp167,3.3332116800011136e-07
h_p0_cp168,1.9804247131105512e-09
h_p0_cp169,1.3789176591672003e-06
h_p0_cp170,1.9786057237070054e-09
h_p0_cp171,4.2273134113202104e-06
h_p0_cp172,1.9786057237070054e-09
h_p0_cp173,7.8336670412682e-06
h_p0_cp174,1.9786057237070054e-09
h_p0_cp175,4.227313638693886e-06
h_p0_cp176,1.978150976356119e-09
h_p0_cp177,1.3789181139145512e-06
h_p0_cp178,1.978150976356119e-09
h_p0_cp179,3.3332162274746224e-07
h_p0_cp180,1.978150976356119e-09
h_p0_cp181,6.459640644607134e-08
h_p0_cp182,1.978150976356119e-09
h_p0_cp183,9.422819857718423e-09
h_p0_cp184,1.978150976356119e-09
h_p0_cp185,-2.362412487855181e-10
h_p0_cp186,1.978150976356119e-09
h_p0_cp187,-1.7348611436318606e-09
h_p0_cp188,1.978150976356119e-09
h_p0_cp189,-1.946091288118623e-09
h_p0_cp190,1.978150976356119e-09
h_p0_cp191,-1.9738308765226975e-09
h_p0_cp192,1.978150976356119e-09
h_p0_cp193,-1.977241481654346e-09
h_p0_cp194,1.978150976356119e-09
h_p0_cp195,-1.9774688553297892e-09
h_p0_cp196,1.978150976356119e-09
h_p0_cp197,-1.9774688553297892e-09
h_p0_cp198,1.978150976356119e-09
h_p0_cp199,-1.9774688553297892e-09
h_p0_cp200,1.978150976356119e-09
h_p0_cp201,-1.9774688553297892e-09
h_p0_cp202,1.978150976356119e-09
h_p0_cp203,-1.9774688553297892e-09
h_p0_cp204,1.978150976356119e-09
h_p0_cp205,-1.9774688553297892e-09
h_p0_cp206,1.978150976356119e-09
h_p0_cp207,-1.9774688553297892e-09
h_p0_cp208,1.978150976356119e-09
h_p0_cp209,-1.9774688553297892e-09
h_p0_cp210,1.978150976356119e-09
h_p0_cp211,-1.9774688553297892e-09
h_p1_cp0,1.6071453501353972e-07
h_p1_cp1,1.0968506103381515e-09
h_p1_cp2,8.279621397377923e-07
h_p1_cp3,7.466951501555741e-10
h_p1_cp4,3.7910549508524127e-06
h_p1_cp5,-5.265974323265254e-10
h_p1_cp6,1.4875428860250395e-05
h_p1_cp7,-8.762981451582164e-10
h_p1_cp8,4.752205268232501e-05
h_p1_cp9,5.475158104673028e-10
h_p1_cp10,0.00011360394364601234
h_p1_cp11,1.978150976356119e-10
h_p1_cp12,0.0001725915280985646
h_p1_cp13,-1.07775122160092e-09
h_p1_cp14,0.00011360247890479513
h_p1_cp15,-1.426542439730838e-09
h_p1_cp16,4.752185031975387e-05
h_p1_cp17,-3.183231456205249e-12
h_p1_cp18,1.4876418390485924e-05
h_p1_cp19,-3.497007128316909e-10
h_p1_cp20,3.790312803175766e-06
h_p1_cp21,-1.6189005691558123e-09
h_p1_cp22,8.254514796135481e-07
h_p1_cp23,-1.940861693583429e-09
h_p1_cp24,1.5929936125758104e-07
h_p1_cp25,-3.838067641481757e-10
h_p1_cp26,2.767046680673957e-08
h_p1_cp27,-2.0327206584624946e-10
h_p1_cp28,4.4360604078974575e-09
h_p1_cp29,-4.547473508864641e-12
h_p1_cp30,2.2082531359046698e-09
h_p1_cp31,1.6143530956469476e-09
h_p1_cp32,1.520675141364336e-09
h_p1_cp33,1.3901626516599208e-09
h_p1_cp34,1.7444108380004764e-09
h_p1_cp35,1.8280843505635858e-10
h_p1_cp36,1.2592863640747964e-08
h_p1_cp37,-2.2646418074145913e-10
h_p1_cp38,8.862707545631565e-08
h_p1_cp39,1.0986695997416973e-09
h_p1_cp40,5.373544809117448e-07
h_p1_cp41,6.834852683823556e-10
h_p1_cp42,2.8740951165673323e-06
h_p1_cp43,-6.2118488131091e-10
h_p1_cp44,1.271049495699117e-05
h_p1_cp45,-9.813447832129896e-10
h_p1_cp46,4.203490425425116e-05
h_p1_cp47,4.383764462545514e-10
h_p1_cp48,8.363916504094959e-05
h_p1_cp49,8.86757334228605e-11
h_p1_cp50,4.2023718833661405e-05
h_p1_cp51,-1.1814336176030338e-09
h_p1_cp52,1.271326573260012e-05
h_p1_cp53,-1.5038494893815368e-09
h_p1_cp54,3.007694431289565e-06
h_p1_cp55,5.093170329928398e-11
h_p1_cp56,1.413853624399053e-06
h_p1_cp57,2.2100721253082156e-10
h_p1_cp58,4.8945812523015775e-06
h_p1_cp59,3.888089850079268e-10
h_p1_cp60,2.3215721284941537e-05
h_p1_cp61,1.9426806829869747e-09
h_p1_cp62,9.608958362150588e-05
h_p1_cp63,1.6211743059102446e-09
h_p1_cp64,0.0003247525751248759
h_p1_cp65,3.5151970223523676e-10
h_p1_cp66,0.0008213705491471046
h_p1_cp67,3.183231456205249e-12
h_p1_cp68,0.001305471987961937
h_p1_cp69,1.426542439730838e-09
h_p1_cp70,0.0008213716007503535
h_p1_cp71,1.0772964742500335e-09
h_p1_cp72,0.00032475182911184675
h_p1_cp73,-1.971329766092822e-10
h_p1_cp74,9.608580990061455e-05
h_p1_cp75,-5.461515684146434e-10
h_p1_cp76,2.3202451529868995e-05
h_p1_cp77,8.77889760886319e-10
h_p1_cp78,4.80978292216605e-06
h_p1_cp79,5.286437954055145e-10
h_p1_cp80,8.833801530272467e-07
h_p1_cp81,-7.457856554538012e-10
h_p1_cp82,1.463474745833082e-07
h_p1_cp83,-1.0957137419609353e-09
h_p1_cp84,9.582172424416058e-07
h_p1_cp85,7.630344498466002e-07
h_p1_cp86,5.207390586292604e-06
h_p1_cp87,3.5013365504710237e-06
h_p1_cp88,2.5118112262134673e-05
h_p1_cp89,1.3740733493250445e-05
h_p1_cp90,0.0001040200090756116
h_p1_cp91,4.3896391389353084e-05
h_p1_cp92,0.0003515635762596503
h_p1_cp93,0.0001049391630658647
h_p1_cp94,0.0008891816023606225
h_p1_cp95,0.00015942955906211864
h_p1_cp96,0.0014132496507954784
h_p1_cp97,0.00010494001253391616
h_p1_cp98,0.0008891941720321483
h_p1_cp99,4.390224626149575e-05
h_p1_cp100,0.00035161051391696674
h_p1_cp101,1.377686089654162e-05
h_p1_cp102,0.0001041558521137631
h_p1_cp103,3.701114110299386e-06
h_p1_cp104,2.5412527975277044e-05
h_p1_cp105,1.7412694433005527e-06
h_p1_cp106,5.623359811579576e-06
