name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp123,5.69847e-05,0,5.69847e-05,5.69847e-05,5.69847e-05,5.69847e-05,166.105,132.946,0.356547,712.355,33.159,299.052,0.35649
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp124,1.98088e-09,0,1.98088e-09,1.98088e-09,1.98088e-09,1.98088e-09,210.611,157.687,0.683672,855.732,52.9239,368.299,0.683672
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp125,1.1819e-05,0,1.1819e-05,1.1819e-05,1.1819e-05,1.1819e-05,265.578,184.896,1.2048,1015.71,80.6816,450.474,1.20479
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp126,1.99543e-09,0,1.99543e-09,1.99543e-09,1.99543e-09,1.99543e-09,332.55,214.813,1.96548,1192.56,117.737,547.363,1.96548
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp127,2.02505e-06,0,2.02505e-06,2.02505e-06,2.02505e-06,2.02505e-06,412.862,247.729,3.00435,1386.46,165.133,660.591,3.00435
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp128,2.14004e-09,0,2.14004e-09,2.14004e-09,2.14004e-09,2.14004e-09,507.68,283.956,4.35508,1597.73,223.724,791.636,4.35508
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp129,3.00935e-07,0,3.00935e-07,3.00935e-07,3.00935e-07,3.00935e-07,618.073,323.795,6.04996,1826.91,294.278,941.868,6.04995
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp13,-1.44337e-09,0,-1.44337e-09,-1.44337e-09,-1.44337e-09,-1.44337e-09,15.9124,15.5545,0.000933516,82.0827,0.357878,31.467,0.000933517
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp130,3.45426e-09,0,3.45426e-09,3.45426e-09,3.45426e-09,3.45426e-09,745.026,367.491,8.12146,2074.69,377.535,1112.52,8.12146
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp131,3.87774e-08,0,3.87774e-08,3.87774e-08,3.87774e-08,3.87774e-08,889.392,415.214,10.6008,2341.82,474.178,1304.61,10.6008
