name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp1,2292.93,4.5566e-13,2292.93,2292.93,2292.93,2292.93,2292.93,2.2783e-12,2292.93,2292.93,2292.93,2292.93,8.813e-10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp10,2256.12,3.18962e-12,2256.12,2256.12,2256.12,2256.12,2292.93,2.73396e-12,2292.93,2292.93,2292.93,2292.93,36.8132
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp100,2292.93,4.5566e-13,2292.93,2292.93,2292.93,2292.93,2292.92,4.5566e-13,2292.92,2292.92,2292.92,2292.92,0.0172414
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp101,1991.07,1.36698e-12,1991.07,1991.07,1991.07,1991.07,2292.91,2.2783e-12,2292.91,2292.91,2292.91,2292.91,301.849
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp102,2292.93,4.5566e-13,2292.93,2292.93,2292.93,2292.93,2292.91,1.36698e-12,2292.91,2292.91,2292.91,2292.91,0.0216829
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp103,1991.07,1.36698e-12,1991.07,1991.07,1991.07,1991.07,2292.91,1.36698e-12,2292.91,2292.91,2292.91,2292.91,301.844
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp104,2292.93,4.5566e-13,2292.93,2292.93,2292.93,2292.93,2285.57,9.11319e-13,2285.57,2285.57,2285.57,2285.57,7.36264
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp105,1991.07,2.50613e-12,1991.07,1991.07,1991.07,1991.07,2285.57,4.5566e-13,2285.57,2285.57,2285.57,2285.57,294.505
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp106,2292.93,4.5566e-13,2292.93,2292.93,2292.93,2292.93,2285.57,4.5566e-13,2285.57,2285.57,2285.57,2285.57,7.36264
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp107,1991.07,2.50613e-12,1991.07,1991.07,1991.07,1991.07,2285.57,9.11319e-13,2285.57,2285.57,2285.57,2285.57,294.505
oname:obs.csv_otype:lst_usecol:obsval_obsnme:hd_p0_cp108,2292.93,4.5566e-13,2292.93,2292.93,2292.93,2292.93,2285.57,2.2783e-12,2285.57,2285.57,2285.57,2285.57,7.36264
