parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,c,inst,pname,pstyle,ptype,r,sp,usecol
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:71_c:31_sp:46,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,31,0,p,m,gr,71,46,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:73_c:59_sp:46,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,73,46,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:54_c:41_sp:46,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,41,0,p,m,gr,54,46,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:68_c:55_sp:46,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,55,0,p,m,gr,68,46,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:59_c:40_sp:46,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,40,0,p,m,gr,59,46,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:72_c:58_sp:47,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,58,0,p,m,gr,72,47,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:70_c:32_sp:47,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,32,0,p,m,gr,70,47,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:41_c:36_sp:47,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,36,0,p,m,gr,41,47,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:84_c:42_sp:47,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,42,0,p,m,gr,84,47,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:76_c:61_sp:47,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,61,0,p,m,gr,76,47,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:72_c:45_sp:47,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,45,0,p,m,gr,72,47,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:37_c:35_sp:47,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,35,0,p,m,gr,37,47,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:34_c:60_sp:47,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,60,0,p,m,gr,34,47,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:66_c:39_sp:47,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,39,0,p,m,gr,66,47,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:58_c:52_sp:47,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,52,0,p,m,gr,58,47,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:54_c:31_sp:47,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,31,0,p,m,gr,54,47,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:34_c:54_sp:47,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,54,0,p,m,gr,34,47,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:55_c:37_sp:47,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,37,0,p,m,gr,55,47,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:77_c:52_sp:47,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,52,0,p,m,gr,77,47,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:35_c:37_sp:47,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,37,0,p,m,gr,35,47,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:71_c:31_sp:47,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,31,0,p,m,gr,71,47,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:73_c:59_sp:47,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,73,47,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:54_c:41_sp:47,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,41,0,p,m,gr,54,47,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:68_c:55_sp:47,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,55,0,p,m,gr,68,47,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:59_c:40_sp:47,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,40,0,p,m,gr,59,47,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:72_c:58_sp:48,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,58,0,p,m,gr,72,48,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:70_c:32_sp:48,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,32,0,p,m,gr,70,48,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:41_c:36_sp:48,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,36,0,p,m,gr,41,48,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:84_c:42_sp:48,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,42,0,p,m,gr,84,48,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:76_c:61_sp:48,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,61,0,p,m,gr,76,48,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:72_c:45_sp:48,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,45,0,p,m,gr,72,48,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:37_c:35_sp:48,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,35,0,p,m,gr,37,48,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:34_c:60_sp:48,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,60,0,p,m,gr,34,48,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:66_c:39_sp:48,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,39,0,p,m,gr,66,48,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:58_c:52_sp:48,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,52,0,p,m,gr,58,48,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:54_c:31_sp:48,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,31,0,p,m,gr,54,48,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:34_c:54_sp:48,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,54,0,p,m,gr,34,48,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:55_c:37_sp:48,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,37,0,p,m,gr,55,48,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:77_c:52_sp:48,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,52,0,p,m,gr,77,48,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:35_c:37_sp:48,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,37,0,p,m,gr,35,48,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:71_c:31_sp:48,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,31,0,p,m,gr,71,48,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:73_c:59_sp:48,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,73,48,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:54_c:41_sp:48,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,41,0,p,m,gr,54,48,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:68_c:55_sp:48,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,55,0,p,m,gr,68,48,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:59_c:40_sp:48,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,40,0,p,m,gr,59,48,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:72_c:58_sp:49,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,58,0,p,m,gr,72,49,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:70_c:32_sp:49,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,32,0,p,m,gr,70,49,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:41_c:36_sp:49,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,36,0,p,m,gr,41,49,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:84_c:42_sp:49,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,42,0,p,m,gr,84,49,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:76_c:61_sp:49,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,61,0,p,m,gr,76,49,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:72_c:45_sp:49,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,45,0,p,m,gr,72,49,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:37_c:35_sp:49,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,35,0,p,m,gr,37,49,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:34_c:60_sp:49,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,60,0,p,m,gr,34,49,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:66_c:39_sp:49,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,39,0,p,m,gr,66,49,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:58_c:52_sp:49,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,52,0,p,m,gr,58,49,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:54_c:31_sp:49,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,31,0,p,m,gr,54,49,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:34_c:54_sp:49,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,54,0,p,m,gr,34,49,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:55_c:37_sp:49,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,37,0,p,m,gr,55,49,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:77_c:52_sp:49,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,52,0,p,m,gr,77,49,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:35_c:37_sp:49,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,37,0,p,m,gr,35,49,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:71_c:31_sp:49,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,31,0,p,m,gr,71,49,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:73_c:59_sp:49,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,73,49,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:54_c:41_sp:49,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,41,0,p,m,gr,54,49,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:68_c:55_sp:49,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,55,0,p,m,gr,68,49,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:59_c:40_sp:49,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,40,0,p,m,gr,59,49,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:72_c:58_sp:50,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,58,0,p,m,gr,72,50,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:70_c:32_sp:50,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,32,0,p,m,gr,70,50,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:41_c:36_sp:50,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,36,0,p,m,gr,41,50,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:84_c:42_sp:50,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,42,0,p,m,gr,84,50,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:76_c:61_sp:50,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,61,0,p,m,gr,76,50,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:72_c:45_sp:50,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,45,0,p,m,gr,72,50,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:37_c:35_sp:50,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,35,0,p,m,gr,37,50,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:34_c:60_sp:50,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,60,0,p,m,gr,34,50,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:66_c:39_sp:50,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,39,0,p,m,gr,66,50,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:58_c:52_sp:50,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,52,0,p,m,gr,58,50,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:54_c:31_sp:50,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,31,0,p,m,gr,54,50,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:34_c:54_sp:50,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,54,0,p,m,gr,34,50,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:55_c:37_sp:50,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,37,0,p,m,gr,55,50,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:77_c:52_sp:50,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,52,0,p,m,gr,77,50,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:35_c:37_sp:50,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,37,0,p,m,gr,35,50,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:71_c:31_sp:50,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,31,0,p,m,gr,71,50,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:73_c:59_sp:50,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,73,50,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:54_c:41_sp:50,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,41,0,p,m,gr,54,50,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:68_c:55_sp:50,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,55,0,p,m,gr,68,50,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:59_c:40_sp:50,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,40,0,p,m,gr,59,50,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:72_c:58_sp:51,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,58,0,p,m,gr,72,51,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:70_c:32_sp:51,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,32,0,p,m,gr,70,51,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:41_c:36_sp:51,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,36,0,p,m,gr,41,51,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:84_c:42_sp:51,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,42,0,p,m,gr,84,51,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:76_c:61_sp:51,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,61,0,p,m,gr,76,51,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:72_c:45_sp:51,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,45,0,p,m,gr,72,51,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:37_c:35_sp:51,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,35,0,p,m,gr,37,51,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:34_c:60_sp:51,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,60,0,p,m,gr,34,51,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:66_c:39_sp:51,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,39,0,p,m,gr,66,51,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:58_c:52_sp:51,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,52,0,p,m,gr,58,51,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:54_c:31_sp:51,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,31,0,p,m,gr,54,51,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:34_c:54_sp:51,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,54,0,p,m,gr,34,51,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:55_c:37_sp:51,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,37,0,p,m,gr,55,51,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:77_c:52_sp:51,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,52,0,p,m,gr,77,51,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:35_c:37_sp:51,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,37,0,p,m,gr,35,51,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:71_c:31_sp:51,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,31,0,p,m,gr,71,51,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:73_c:59_sp:51,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,59,0,p,m,gr,73,51,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:54_c:41_sp:51,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,41,0,p,m,gr,54,51,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:68_c:55_sp:51,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,55,0,p,m,gr,68,51,a
pname:p_inst:0_ptype:gr_usecol:a_pstyle:m_r:59_c:40_sp:51,none,relative,1.0,0.01,10.0,p_inst:0,1.0,0.0,1,40,0,p,m,gr,59,51,a
