name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp0,3.57113e-09,0,3.57113e-09,3.57113e-09,3.57113e-09,3.57113e-09,2.12816e-24,1.29396e-24,3.65061e-26,4.45134e-24,8.34198e-25,3.42212e-24,3.57113e-09
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp1,1.97815e-09,0,1.97815e-09,1.97815e-09,1.97815e-09,1.97815e-09,6.40175e-11,3.89238e-11,1.09815e-12,1.33902e-10,2.50937e-11,1.02941e-10,1.84425e-09
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp10,3.86748e-06,0,3.86748e-06,3.86748e-06,3.86748e-06,3.86748e-06,29.8185,13.2964,1.97747,59.5275,16.5221,43.1149,1.97746
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp100,1.25842e-05,0,1.25842e-05,1.25842e-05,1.25842e-05,1.25842e-05,223.949,43.8164,15.2894,329.805,180.132,267.765,15.2894
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp101,2.81277e-07,0,2.81277e-07,2.81277e-07,2.81277e-07,2.81277e-07,257.05,49.1183,17.5394,375.517,207.932,306.168,17.5394
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp102,2.83937e-06,0,2.83937e-06,2.83937e-06,2.83937e-06,2.83937e-06,293.829,54.8699,20.0377,425.789,238.959,348.699,20.0377
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp103,5.48339e-08,0,5.48339e-08,5.48339e-08,5.48339e-08,5.48339e-08,334.551,61.0929,22.8021,480.895,273.458,395.644,22.8021
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp104,5.32527e-07,0,5.32527e-07,5.32527e-07,5.32527e-07,5.32527e-07,6.30222e-21,3.83187e-21,1.08108e-22,1.3182e-20,2.47035e-21,1.01341e-20,5.32527e-07
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp105,1.2697e-08,0,1.2697e-08,1.2697e-08,1.2697e-08,1.2697e-08,3.72146e-09,2.26271e-09,6.38374e-11,7.78396e-09,1.45874e-09,5.98417e-09,4.91304e-09
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp106,9.5547e-08,0,9.5547e-08,9.5547e-08,9.5547e-08,9.5547e-08,3.67734e-05,2.23566e-05,6.34478e-07,7.6912e-05,1.44168e-05,5.91301e-05,5.38931e-07
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp107,4.02476e-08,0,4.02476e-08,4.02476e-08,4.02476e-08,4.02476e-08,0.00398717,0.00240168,7.78077e-05,0.00829135,0.00158549,0.00638884,7.77675e-05
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp108,1.97397e-08,0,1.97397e-08,1.97397e-08,1.97397e-08,1.97397e-08,0.0724389,0.0416729,0.00193738,0.147452,0.030766,0.114112,0.00193736
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp109,3.01137e-07,0,3.01137e-07,3.01137e-07,3.01137e-07,3.01137e-07,0.541796,0.290095,0.0206811,1.09753,0.2517,0.831891,0.0206808
