SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,1.864661506456522e-11,0.0005051523365237683,0.0010128654631903552,0.0014273548894185165,0.0018940229439951184,0.0025368460383245147,0.0035657607305466282,0.0060083275464169646,0.0029353113247829335,2.8150321268035546e-14,0.0029395270482151315,0.0059116248500466345,0.003705096233017984,0.0030083803784559226,0.0030807217513251746,0.0030980612425713324,0.004330954995727192,0.0019281851880412256,1.4109440049909238e-12,0.0019260391793847907,0.0035230100927098403,0.007382361259481511,0.009315500110344379,0.004522165220619993,0.00303739991007635,0.0023896845732182255,0.001307708483423231,5.029271874166882e-12,0.0013100551215439456,0.002994333283265303,0.005451751485895214,0.008682935993568713,0.003967523271829224,0.002125990741791395,0.0011907572849385213,0.0005089313964794407
1,6.308513168988878e-06,0.0006652831677004654,0.0012896792150630366,0.0019704494829882856,0.0028236715948654,0.003895508190545848,0.005191913774636388,0.008538661501677652,0.004475000475880897,1.5725124273899923e-05,0.004477018931381674,0.009348001930989462,0.005483712511529817,0.004244794351566133,0.004208045771922302,0.004251400402240303,0.006681170718917559,0.002566849210307767,1.099482252526134e-05,0.0025568964412309475,0.0034875171116696534,0.00592048314819936,0.0048343245604589484,0.0027699849084778564,0.0020469005773914644,0.001563211014781346,0.000917872999770835,3.6877148929031375e-12,0.0009226064858296087,0.002009806648212722,0.003768317987878509,0.006968491482666879,0.003385024619410132,0.0020767621386902028,0.001319307782744011,0.0006622903779621531
2,3.0132093331223275e-10,0.0007669883495992505,0.0015762496538944378,0.002383433856168907,0.0033590385937639746,0.00460671293052333,0.006315234493936012,0.010907717376472227,0.005076977922094604,8.00899036363775e-21,0.005081362880515545,0.009555770365335886,0.006363111597981939,0.005758034987833516,0.006429015829628497,0.005832503723529231,0.007604035840150053,0.0031461727302622036,4.593787461920378e-14,0.0031427657249486957,0.005121144732626488,0.009621261254230767,0.008274332689334585,0.0045911423461260465,0.003309934881299788,0.0026126461846058416,0.001425414145093044,7.340469754225948e-10,0.001428734068852912,0.0032316565976602887,0.005773775396421286,0.008977030538553279,0.004512608474095546,0.0027101115280038306,0.0016616025055046495,0.0007712654901092421
3,0.00015568559977415723,0.0006880576138838741,0.0012817048857379216,0.0019073268732674228,0.002637265324317231,0.003498774500566777,0.004469766268735419,0.006705516952413257,0.004191366625898284,0.00016908581911584766,0.004173658145308374,0.009856619616424684,0.005822867423163014,0.005009835459398407,0.005553822692022593,0.005189945079231578,0.006788441677366292,0.0030728005333238054,5.4259753399946986e-05,0.0030684100564517514,0.005438311337195854,0.011234340452367791,0.011102771749304173,0.005271051333338387,0.003226871720805205,0.002255293424652065,0.0012031606488504803,0.00010328545847104875,0.0012158256454785647,0.002476847950091991,0.004060281698071641,0.005547741310353495,0.003085176379938968,0.0020020529095441542,0.0012947666694443575,0.000676325975677987
4,1.0896119576912316e-08,0.0006234866613430001,0.001312451900052948,0.002075944654937881,0.003065800986014841,0.004400001986743226,0.0062639868789599795,0.01056759506009254,0.005197042743363784,6.41090081161583e-27,0.005283209491702008,0.010836978005731395,0.006655778286402792,0.00528833602885438,0.005257327609520097,0.0044761472535693935,0.004878660247375816,0.002414316311347514,5.9064142473221117e-05,0.0024272579894498605,0.004750122871667027,0.010112990743564788,0.010857879699367978,0.0050433817771659215,0.0029669032278285294,0.0019628109663908625,0.0010282663204710116,5.068219347303828e-05,0.0010170297938875983,0.002082309961182721,0.00350567810002467,0.005557078944748225,0.003041952653323855,0.001997827580053654,0.0013049376251986285,0.0006355845545960222
5,2.250375461931228e-18,0.0006587543808118922,0.0015311005359934543,0.002300891692150351,0.0031951400890734686,0.00423784310330977,0.005392397063191402,0.008443477286581447,0.004156892006762209,1.1545923996221735e-20,0.00418321551801981,0.008482977027056865,0.005710388426856288,0.0051479124263424806,0.005682922501523719,0.005367343983215889,0.007447737904229478,0.003039419849719102,4.572682876067253e-22,0.003028383673508375,0.004958140720569952,0.009474720308914622,0.007398098628991435,0.004378976792521647,0.0033328910654466413,0.0027680814522238377,0.001404313837444867,2.41628020820448e-22,0.0013569806658522308,0.0034528435595959314,0.006144139584851002,0.008953134215765487,0.004514451844211468,0.0026837906940833166,0.0016230452066041154,0.0006573168926862543
6,0.00027438219797102574,0.0006943202297924766,0.0012142344868524522,0.0017508326378315325,0.0024271664584558416,0.0034283821082014454,0.00506486715385083,0.00847801355480398,0.004684353304021537,0.0002963419434524046,0.004674603154248936,0.009964375078874906,0.0057518603203227225,0.004314113508133532,0.0042328960799883466,0.004246900577212064,0.006584669661604623,0.0025984631159516255,0.00031945640746639247,0.0026220552469872144,0.0035532299298902527,0.005920467802657618,0.005331464111578316,0.0032466253545950998,0.002599254696496556,0.0022361100013635463,0.001340043933445203,0.00032443052946795565,0.0013105760915692103,0.0027584823369802757,0.004766339564555857,0.006603042049719279,0.0033730162087160375,0.0020318357830920305,0.0012713471582156274,0.0006800981749689209
7,2.306819630374502e-25,0.0005941989990175976,0.001614168872933925,0.0024879042383230314,0.0035854657916677135,0.004971358097592859,0.006714694561956868,0.011015706213500011,0.005337900418588297,2.606416825202317e-37,0.0053560929204065424,0.011327475998836066,0.007111617987759867,0.005878099393958611,0.006003908272358622,0.004820049198171292,0.005065212724441631,0.002086946198093308,2.3068562577101846e-26,0.0020777481777169158,0.004025218361249902,0.0076908088343550915,0.007216590810734284,0.004111250353061312,0.003026170962277396,0.0024220542681230414,0.0011725353703936781,1.1471661429005421e-25,0.0011785383521560426,0.003111848337013628,0.0057670717166774885,0.00974976873139538,0.004756056585250417,0.0028049667230615936,0.0017077963186264455,0.0006108456906559709
8,0.00015459808832889833,0.0007062656534145403,0.0012850799993906294,0.0018745416217426222,0.0026009281777244564,0.00363838042916944,0.005333795140569087,0.009434775422977418,0.004431828306397993,0.00017936576031677692,0.004415458405936574,0.008087156299739252,0.005343547576934551,0.004650086167677382,0.00501213491630327,0.004335154680913684,0.004949968752276778,0.0023603077272987684,0.00010301212712891091,0.002359622094548914,0.004386903984178754,0.009058205271083907,0.00919607403902413,0.004597554830044015,0.0030317705162619148,0.0022777644291481344,0.0012830120719958364,0.0001240432418674308,0.0012850371719580094,0.002735700861935802,0.004845984246954186,0.007833537149335624,0.003826175200719526,0.0022402975182591496,0.001365727369402636,0.0006946994696575981
9,6.17101671316848e-05,0.0007618453963925915,0.0014350638907636192,0.002109688423694407,0.0028918474249785835,0.0038593489391060064,0.005078335006289047,0.007997219125787434,0.003613454855242418,6.881976096868008e-05,0.0036030310246233433,0.006303553389195108,0.0049765190801839086,0.004864497582860547,0.005572430737936143,0.004941027881573145,0.005953433759083637,0.002708669254466374,1.2666176493882127e-14,0.00269802239652597,0.004971210292692919,0.010255648660148076,0.00900217117285736,0.004729523147974611,0.003254865978646771,0.0025167551269986202,0.0013432495448433973,2.3067991746809354e-15,0.0013444256721405938,0.003101423079368167,0.0055621551522482575,0.00884244907748457,0.004327779660588389,0.0025276726871582287,0.0015215690327384718,0.0007434317793183685
